AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-3.04,3.58,12.44,-0.02,0.02,-0.27,1721200963145
-3.94,2.28,8.76,0.05,-0.22,-0.20,1721200963150
-4.13,2.42,6.97,-0.09,-0.03,-0.10,1721200963160
-1.23,6.12,11.32,0.08,-0.02,0.03,1721200963170
4.75,2.09,8.54,-0.12,0.02,-0.01,1721200963180
3.28,0.70,10.83,-0.05,-0.20,-0.17,1721200963190
0.82,1.94,9.89,-0.00,0.00,-0.32,1721200963200
1.10,4.83,13.53,0.11,0.14,-0.28,1721200963210
3.79,0.79,9.07,-0.06,-0.01,-0.20,1721200963220
2.91,0.69,8.88,-0.06,-0.11,-0.30,1721200963230
2.68,-0.71,13.44,-0.02,0.17,-0.53,1721200963240
0.85,-2.33,12.74,0.10,-0.03,-0.51,1721200963250
-0.89,0.70,4.85,0.06,-0.08,-0.18,1721200963260
3.14,-1.67,10.17,-0.24,0.25,-0.09,1721200963270
3.27,-2.91,19.00,0.05,-0.00,-0.38,1721200963280
-0.03,0.90,5.57,0.22,-0.13,-0.61,1721200963290
1.68,-2.62,5.33,-0.36,0.38,-0.07,1721200963300
3.05,-2.12,21.92,0.09,0.24,-0.20,1721200963310
2.07,1.61,5.65,0.24,-0.01,-0.54,1721200963320
2.83,1.49,2.94,-0.18,0.42,-0.23,1721200963330
4.73,-0.66,17.18,-0.06,0.36,-0.35,1721200963340
4.29,-0.28,8.13,0.06,0.26,-0.84,1721200963350
-4.33,3.18,12.61,-0.04,0.12,-0.83,1721200963360
-4.06,-0.83,6.51,0.03,0.32,-0.30,1721200963370
-0.54,3.11,12.49,-0.04,0.36,-0.26,1721200963380
-0.13,1.79,5.83,0.04,0.03,-0.64,1721200963390
-6.45,9.40,4.48,-0.31,0.04,-0.65,1721200963400
-7.94,2.07,11.41,0.02,0.41,-0.14,1721200963410
0.68,0.20,13.44,0.19,0.52,-0.15,1721200963420
0.79,5.00,14.95,0.20,0.13,-0.53,1721200963430
1.82,-4.11,8.17,-0.17,0.19,-0.32,1721200963440
1.26,-2.24,14.53,0.03,0.19,-0.04,1721200963450
5.55,3.09,4.40,0.04,0.34,-0.35,1721200963460
2.82,3.09,8.70,-0.11,0.14,-0.70,1721200963470
-1.12,-1.77,11.19,0.01,0.20,-0.51,1721200963480
-1.85,1.54,13.13,0.09,0.32,-0.20,1721200963490
0.39,2.25,6.81,0.11,0.20,-0.27,1721200963500
0.33,-1.76,7.95,-0.14,0.25,-0.42,1721200963510
-4.05,0.85,11.63,0.10,-0.10,-0.29,1721200963520
-2.66,-0.84,8.79,-0.10,0.34,-0.11,1721200963530
-0.79,-0.41,12.91,0.18,0.10,-0.02,1721200963540
0.29,1.93,4.15,0.01,0.12,-0.01,1721200963550
1.98,1.83,11.60,-0.19,0.32,-0.03,1721200963560
3.03,1.93,15.91,0.17,0.19,-0.16,1721200963570
5.08,0.32,13.79,0.05,0.36,-0.30,1721200963580
1.57,3.65,-2.30,0.15,-0.19,-0.16,1721200963590
2.15,-1.66,11.12,-0.49,0.76,-0.35,1721200963600
1.33,2.26,24.13,0.39,0.14,-0.48,1721200963610
-2.28,3.77,-4.84,0.24,0.09,-0.28,1721200963620
-2.53,2.64,5.20,-0.25,0.44,-0.08,1721200963630
-1.93,-1.94,10.83,-0.05,-0.06,-0.52,1721200963640
-9.98,0.05,19.95,0.17,-0.01,-0.63,1721200963650
-11.12,-0.40,3.53,0.26,-0.02,0.22,1721200963660
-8.26,-0.21,3.87,-0.26,0.13,0.65,1721200963670
-3.05,-0.41,18.39,0.04,-0.09,0.34,1721200963680
0.67,0.54,13.79,0.22,-0.12,0.13,1721200963690
1.26,2.47,2.43,0.07,-0.25,0.35,1721200963700
3.38,-1.36,8.48,-0.30,0.11,0.09,1721200963710
2.40,0.43,19.00,0.13,-0.22,-0.27,1721200963720
-0.88,1.69,9.11,0.05,-0.22,-0.18,1721200963730
-2.08,1.39,8.35,-0.04,-0.17,0.08,1721200963740
-1.03,-0.57,9.29,-0.01,-0.19,0.01,1721200963750
-2.01,-1.80,10.27,-0.14,-0.08,-0.16,1721200963760
-5.58,-0.52,15.56,0.05,-0.30,0.10,1721200963770
-3.30,-2.48,8.52,-0.01,-0.20,0.54,1721200963780
2.37,-0.97,4.26,-0.02,-0.24,0.66,1721200963790
6.04,-0.46,10.82,-0.25,-0.02,0.29,1721200963800
5.82,1.39,17.50,0.04,-0.27,0.01,1721200963810
4.34,-3.37,5.84,-0.03,-0.35,0.13,1721200963820
1.69,0.83,11.36,-0.03,-0.14,0.21,1721200963830
3.46,0.14,10.25,-0.02,-0.07,-0.05,1721200963840
1.77,-0.33,9.05,-0.04,-0.28,-0.00,1721200963850
1.00,1.17,10.07,0.03,-0.07,0.04,1721200963860
1.00,0.31,8.72,-0.02,-0.04,0.05,1721200963870
-1.62,-2.16,9.13,-0.01,-0.33,0.03,1721200963880
1.13,-0.02,8.65,-0.02,-0.01,0.05,1721200963890
5.15,3.21,14.78,-0.03,0.05,0.10,1721200963900
3.57,2.12,10.22,0.05,-0.20,-0.05,1721200963910
2.98,2.88,10.68,-0.00,0.08,-0.29,1721200963920
3.85,2.98,8.64,0.02,0.05,-0.30,1721200963930
1.52,2.09,7.57,0.01,-0.02,-0.22,1721200963940
0.73,0.72,10.57,-0.11,0.22,-0.32,1721200963950
-0.35,-1.45,12.24,0.07,-0.05,-0.26,1721200963960
0.20,-1.45,5.85,-0.02,0.05,-0.10,1721200963970
3.37,-0.43,12.17,-0.17,0.26,-0.13,1721200963980
3.95,1.21,15.10,0.04,0.07,-0.27,1721200963990
2.80,1.22,7.08,-0.02,0.06,-0.32,1721200964000
5.01,4.06,10.21,-0.16,0.33,-0.32,1721200964010
7.19,6.29,13.98,-0.09,0.30,-0.47,1721200964020
5.60,2.36,6.81,-0.09,0.10,-0.65,1721200964030
2.29,4.25,13.87,-0.12,0.41,-0.83,1721200964040
-1.10,-2.68,3.44,-0.09,0.40,-0.98,1721200964050
-14.79,16.47,18.96,-0.30,0.12,-1.35,1721200964060
-14.88,-21.59,-2.62,-0.54,-0.16,-0.32,1721200964070
-5.77,-5.00,22.03,-0.38,0.37,1.29,1721200964080
18.42,0.48,3.06,0.18,0.47,0.94,1721200964090
21.51,-3.32,2.14,-0.50,0.75,-0.99,1721200964100
8.12,7.63,10.30,-0.25,-0.36,-2.60,1721200964110
-4.50,-3.64,16.53,-0.25,-0.20,-2.73,1721200964120
-21.00,-5.65,12.22,-0.23,0.10,-1.46,1721200964130
-15.95,0.76,7.55,-0.20,0.57,-0.12,1721200964140
0.91,-3.22,10.53,-0.36,0.50,0.15,1721200964150
6.88,4.18,14.19,0.01,0.45,-0.49,1721200964160
9.90,6.70,8.01,0.09,0.41,-1.47,1721200964170
2.53,3.66,10.97,-0.15,0.30,-1.86,1721200964180
