AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-4.63,0.73,7.32,-0.10,0.07,0.31,1721199673140
-4.51,2.42,9.08,-0.07,-0.25,0.23,1721199673144
-0.74,-8.92,7.37,-0.33,-0.14,0.41,1721199673154
-1.87,4.72,25.92,0.34,-0.24,0.59,1721199673164
3.61,0.88,-6.09,-0.17,-0.30,0.31,1721199673174
-4.43,0.82,11.15,-0.52,-0.44,0.02,1721199673184
-1.00,4.25,15.16,0.04,0.17,-0.00,1721199673194
-0.02,6.98,9.65,0.03,-0.22,0.20,1721199673204
1.25,4.17,8.68,-0.11,-0.27,0.27,1721199673214
-0.59,3.49,9.29,-0.15,-0.28,0.35,1721199673224
1.24,0.75,11.68,-0.10,-0.18,0.23,1721199673234
0.85,3.38,10.83,0.18,-0.40,-0.06,1721199673244
-1.14,8.73,7.06,0.10,-0.19,-0.05,1721199673254
1.18,2.94,9.71,-0.17,-0.06,0.40,1721199673264
4.30,4.38,16.12,0.08,-0.16,0.45,1721199673274
8.43,5.12,4.87,0.04,-0.06,-0.04,1721199673284
4.22,9.54,9.24,0.06,-0.11,-0.43,1721199673294
2.03,1.80,4.18,-0.22,-0.01,-0.31,1721199673304
-1.28,-2.80,18.46,-0.23,0.01,-0.09,1721199673314
-2.35,-4.15,10.62,0.11,-0.20,0.05,1721199673324
-3.22,6.33,9.32,0.10,0.04,0.02,1721199673334
0.78,-0.75,4.69,-0.32,-0.01,0.18,1721199673344
-0.41,-4.07,18.27,-0.11,-0.16,0.24,1721199673354
1.37,-2.51,6.73,0.17,-0.12,0.23,1721199673364
5.33,0.76,11.89,-0.07,0.33,0.17,1721199673374
7.94,-0.64,8.37,0.12,-0.01,0.07,1721199673384
7.32,-4.81,8.81,-0.21,0.34,-0.25,1721199673394
3.55,-5.40,15.75,0.12,0.02,-0.50,1721199673404
0.28,-0.53,14.05,0.27,0.36,-0.60,1721199673414
-3.02,2.40,0.59,0.10,0.13,-0.45,1721199673424
-5.80,-1.39,7.01,-0.24,0.25,-0.34,1721199673434
-5.45,-6.54,21.16,0.07,0.24,-0.28,1721199673444
-5.02,1.03,10.77,0.53,0.09,-0.21,1721199673454
-5.06,5.49,-7.32,-0.19,0.14,-0.11,1721199673464
-5.78,-6.03,20.12,-0.30,0.27,-0.16,1721199673474
-3.51,-9.64,25.82,0.50,-0.09,0.01,1721199673484
1.70,5.52,0.55,0.31,0.21,0.39,1721199673494
9.03,4.06,7.77,0.04,0.28,0.18,1721199673504
7.12,0.02,14.45,-0.03,0.18,-0.54,1721199673514
1.79,1.54,16.85,0.15,-0.02,-0.76,1721199673524
-2.24,6.59,6.36,0.16,0.24,-0.56,1721199673534
-4.18,1.09,10.50,-0.19,0.44,-0.61,1721199673544
-9.72,3.73,10.35,0.33,-0.21,-0.58,1721199673554
-6.88,-1.56,2.99,-0.14,0.30,-0.24,1721199673564
-5.85,0.15,12.78,-0.06,-0.03,0.09,1721199673574
