AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.86,1.32,10.29,0.02,0.26,-0.62,1721199345131
-2.35,1.60,10.20,0.02,0.22,-0.70,1721199345136
-4.31,-0.13,9.87,-0.03,0.17,-0.59,1721199345146
-4.81,0.37,11.38,0.01,0.21,-0.32,1721199345156
-1.47,0.77,7.87,0.01,0.19,-0.10,1721199345166
1.10,-1.21,10.09,-0.12,0.23,-0.25,1721199345176
0.54,1.47,11.14,0.03,0.10,-0.55,1721199345186
-1.25,-0.18,8.43,-0.08,0.18,-0.50,1721199345196
-3.16,-1.78,10.75,-0.08,0.13,-0.32,1721199345206
-1.25,0.75,10.56,-0.10,0.20,-0.14,1721199345216
0.99,-1.46,10.25,-0.09,0.12,-0.13,1721199345226
0.10,0.07,11.16,-0.10,0.17,-0.33,1721199345236
-1.81,-0.91,9.21,-0.07,0.09,-0.45,1721199345246
-2.09,-1.03,11.55,-0.19,0.24,-0.25,1721199345256
-1.83,-1.88,10.75,-0.12,0.14,-0.09,1721199345266
-0.80,0.12,8.84,-0.07,0.15,-0.09,1721199345276
1.13,-0.99,9.52,-0.07,0.22,-0.24,1721199345286
-1.21,-3.85,11.38,-0.06,0.02,-0.26,1721199345296
-1.19,-2.54,11.10,-0.03,0.27,-0.28,1721199345306
0.06,-1.09,10.43,0.03,0.08,-0.10,1721199345316
-0.18,0.26,10.30,0.04,0.18,-0.05,1721199345326
0.07,-0.57,10.32,0.16,0.09,-0.08,1721199345336
-0.14,-0.06,10.23,0.11,0.21,-0.14,1721199345346
-0.07,-2.04,11.54,0.09,0.21,-0.19,1721199345356
-0.47,0.58,12.00,0.10,0.30,-0.21,1721199345366
-0.11,0.51,11.12,0.13,0.24,-0.22,1721199345376
-0.85,0.67,11.19,0.18,0.23,-0.17,1721199345386
0.00,-1.77,8.32,0.15,0.18,-0.17,1721199345396
-0.16,-1.21,11.80,0.16,0.24,-0.24,1721199345406
-0.16,-1.50,8.54,0.26,0.20,-0.26,1721199345416
-0.81,-2.32,10.13,0.17,0.25,-0.17,1721199345426
-2.23,-0.79,11.54,0.20,0.23,-0.16,1721199345436
-0.82,-0.45,9.80,0.18,0.32,-0.13,1721199345446
-0.57,1.39,12.80,0.21,0.28,-0.14,1721199345456
-2.04,1.37,9.24,0.25,0.15,-0.18,1721199345466
-2.04,2.83,9.79,0.21,0.25,-0.23,1721199345476
-1.38,0.69,10.05,0.26,0.18,-0.20,1721199345486
-2.20,-0.05,8.84,0.20,0.18,-0.18,1721199345496
-1.11,0.02,10.85,0.21,0.27,-0.17,1721199345506
-0.53,0.40,9.45,0.23,0.20,-0.24,1721199345516
-1.40,1.12,10.45,0.18,0.23,-0.39,1721199345526
-3.47,1.13,10.60,0.22,0.18,-0.38,1721199345536
-4.39,-0.65,9.49,0.17,0.19,-0.18,1721199345546
-4.71,0.28,10.05,0.14,0.14,-0.09,1721199345556
-3.89,-0.10,8.27,0.10,0.06,-0.08,1721199345566
-3.78,1.13,8.88,0.09,0.08,-0.08,1721199345576
-4.53,-0.73,7.88,-0.01,0.02,-0.06,1721199345586
-5.36,1.20,9.81,-0.03,-0.01,0.10,1721199345596
-3.06,1.29,11.91,-0.13,0.09,0.25,1721199345606
-1.23,2.66,11.39,-0.02,0.00,0.32,1721199345616
0.81,-0.01,8.76,-0.20,0.03,0.27,1721199345626
0.39,1.44,13.49,-0.11,-0.06,0.25,1721199345636
0.07,0.57,8.57,-0.11,-0.10,0.28,1721199345646
-1.30,-0.37,12.47,-0.17,-0.11,0.31,1721199345656
-1.38,-0.89,7.25,-0.12,-0.16,0.32,1721199345666
-0.64,-3.92,11.33,-0.28,-0.05,0.39,1721199345676
-0.57,-2.76,9.23,-0.16,-0.23,0.45,1721199345686
-1.57,-0.31,10.31,-0.22,-0.07,0.47,1721199345696
-1.13,-1.25,11.78,-0.20,-0.24,0.51,1721199345706
-0.08,0.03,11.30,-0.22,-0.11,0.49,1721199345716
1.29,-3.03,10.01,-0.18,-0.22,0.56,1721199345726
-0.84,-1.25,9.61,-0.30,-0.10,0.45,1721199345736
-2.36,2.95,9.33,-0.22,-0.23,0.31,1721199345746
-0.39,-1.47,9.64,-0.22,-0.27,0.28,1721199345756
1.56,-4.96,11.99,-0.23,-0.20,0.50,1721199345766
0.48,0.58,10.48,-0.21,-0.15,0.58,1721199345776
-2.00,2.89,10.41,-0.13,-0.35,0.35,1721199345786
-0.65,0.53,11.63,-0.16,-0.20,0.13,1721199345796
1.47,-3.60,9.56,-0.14,-0.36,0.39,1721199345806
0.10,0.97,9.03,-0.10,-0.07,0.59,1721199345816
-0.74,3.87,11.42,-0.07,-0.22,0.30,1721199345826
2.28,-4.06,10.97,-0.11,-0.37,0.20,1721199345836
1.96,-0.98,10.84,-0.04,-0.22,0.27,1721199345846
1.22,0.60,10.19,0.03,-0.18,0.33,1721199345856
-0.33,0.37,9.47,0.03,-0.31,0.22,1721199345866
1.98,-2.85,11.15,-0.04,-0.17,0.25,1721199345876
2.18,0.15,9.94,0.07,-0.21,0.28,1721199345886
