AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
0.44,4.59,16.42,-0.14,-0.05,-0.41,1721201372146
0.57,0.39,13.16,-0.08,-0.24,-0.42,1721201372151
3.40,1.46,14.76,-0.05,0.18,-0.56,1721201372161
1.08,6.73,7.66,0.13,-0.35,-0.73,1721201372171
-4.19,8.50,3.77,-0.19,-0.01,-0.88,1721201372181
-5.10,6.74,15.24,-0.17,-0.11,-0.75,1721201372191
-5.14,4.87,10.83,-0.09,-0.13,-0.51,1721201372201
1.52,3.08,15.86,-0.14,-0.13,0.20,1721201372211
1.79,3.94,4.58,0.05,-0.05,-0.21,1721201372221
7.61,3.69,13.33,-0.40,0.22,-0.86,1721201372231
0.55,-0.31,6.24,0.11,-0.73,-1.33,1721201372241
-7.83,-0.76,4.52,0.03,0.28,-1.26,1721201372251
-16.82,3.17,11.02,-0.17,-0.26,-0.81,1721201372261
-14.48,4.55,20.42,0.04,-0.04,0.29,1721201372271
-3.29,-0.88,13.10,0.10,-0.07,1.01,1721201372281
9.08,-3.10,8.28,0.00,0.12,0.88,1721201372291
15.28,-1.32,6.02,0.03,0.21,0.07,1721201372301
13.33,-2.42,8.96,-0.24,-0.14,-0.97,1721201372311
1.16,1.54,11.35,-0.08,-0.26,-1.78,1721201372321
-2.70,-5.99,16.12,-0.12,-0.10,-1.86,1721201372331
-16.34,-2.09,12.64,0.05,-0.41,-0.94,1721201372341
-15.38,-7.11,1.39,0.11,0.02,0.20,1721201372351
-2.15,-4.48,9.81,-0.13,0.41,0.73,1721201372361
6.18,-1.80,14.90,-0.00,0.07,0.33,1721201372371
7.52,2.33,10.21,0.04,0.06,-0.36,1721201372381
4.99,-1.27,7.05,-0.20,-0.08,-0.93,1721201372391
-0.06,-4.58,10.23,-0.23,-0.06,-1.11,1721201372401
-5.22,-3.08,11.23,-0.02,-0.11,-0.86,1721201372411
-5.66,-2.74,10.43,-0.06,0.08,-0.42,1721201372421
-5.41,1.42,13.97,0.02,-0.16,-0.18,1721201372431
-0.22,-0.74,7.80,0.15,0.11,-0.13,1721201372441
0.70,-3.79,6.97,-0.15,0.04,-0.29,1721201372451
-1.45,1.27,17.05,0.03,0.10,-0.50,1721201372461
-2.25,-1.37,12.29,0.22,-0.23,-0.36,1721201372471
-2.26,4.98,8.32,0.27,0.09,-0.08,1721201372481
0.12,-3.20,10.15,0.03,-0.13,0.19,1721201372491
-0.52,6.19,16.05,0.24,-0.06,0.30,1721201372501
2.00,-6.76,3.77,0.04,-0.19,0.08,1721201372511
1.74,3.36,18.55,0.11,0.14,0.09,1721201372521
1.82,-1.54,6.09,0.24,-0.38,0.01,1721201372531
-0.36,1.98,12.16,0.06,0.16,-0.10,1721201372541
-0.06,-2.09,9.92,0.19,-0.34,0.26,1721201372551
1.07,0.63,12.73,0.10,0.14,0.34,1721201372561
3.96,2.15,10.90,0.25,-0.07,0.24,1721201372571
2.94,0.11,6.69,0.05,-0.07,0.09,1721201372581
2.59,-0.83,13.91,0.05,-0.02,-0.01,1721201372591
2.08,1.42,8.59,0.23,-0.02,0.00,1721201372601
2.62,-0.31,7.23,0.00,0.17,-0.01,1721201372611
2.43,-1.55,12.70,-0.11,0.10,-0.13,1721201372621
0.05,4.00,11.14,0.24,-0.07,-0.20,1721201372631
1.22,-1.82,-1.24,-0.03,0.07,-0.07,1721201372641
0.35,0.31,19.38,-0.31,0.33,-0.16,1721201372651
-0.69,3.92,10.30,0.22,-0.33,-0.26,1721201372661
-1.42,-6.99,2.12,-0.53,0.30,-0.27,1721201372671
-3.42,3.12,21.97,-0.17,-0.12,-0.18,1721201372681
-2.89,-2.17,4.86,-0.00,-0.10,0.08,1721201372691
-0.02,0.55,12.20,-0.41,0.28,0.09,1721201372701
1.19,1.27,9.37,-0.05,-0.31,-0.03,1721201372711
2.03,-2.40,9.59,-0.37,0.32,-0.31,1721201372721
0.25,0.66,11.90,-0.04,-0.22,-0.22,1721201372731
-1.01,-6.89,1.03,-0.29,0.05,-0.14,1721201372741
-0.65,-4.93,17.00,-0.23,0.17,-0.16,1721201372751
-0.35,-2.68,6.21,-0.03,-0.23,-0.06,1721201372761
-1.03,-2.59,11.37,-0.64,0.24,-0.09,1721201372771
-0.37,9.67,20.49,-0.13,-0.14,-0.18,1721201372781
-0.03,0.26,5.20,0.12,-0.02,-0.16,1721201372791
0.72,-6.45,7.55,-0.42,0.18,-0.16,1721201372801
0.72,2.22,15.85,-0.02,-0.10,-0.17,1721201372811
1.01,-4.96,5.98,0.12,-0.03,0.01,1721201372821
2.15,-0.82,10.51,-0.47,0.23,0.00,1721201372831
0.60,6.08,17.64,-0.09,-0.04,-0.32,1721201372841
1.82,4.64,10.20,0.27,0.01,-0.41,1721201372851
-1.45,-4.22,3.30,-0.05,-0.00,-0.54,1721201372861
-1.66,0.63,16.79,0.12,0.15,-0.45,1721201372871
-1.10,1.81,14.81,0.39,-0.02,-0.36,1721201372881
-2.14,-2.14,4.99,0.24,-0.03,-0.31,1721201372891
-2.00,-1.70,10.22,0.15,0.07,-0.24,1721201372901
0.19,-1.23,13.84,0.20,0.12,-0.38,1721201372911
-0.06,0.91,9.17,0.38,-0.05,-0.42,1721201372921
-1.51,-1.57,7.37,0.19,0.10,-0.51,1721201372931
-1.82,-1.71,14.85,0.12,0.05,-0.41,1721201372941
-1.99,-1.09,8.67,0.32,-0.06,-0.32,1721201372951
-1.40,-2.09,7.87,0.28,-0.02,-0.38,1721201372961
-2.40,-3.59,8.81,0.11,-0.04,-0.41,1721201372971
-3.86,-2.75,8.83,0.17,0.01,-0.40,1721201372981
-1.24,-0.90,11.18,0.09,0.12,-0.30,1721201372991
-1.41,0.16,9.76,0.15,-0.14,-0.36,1721201373001
-1.12,1.51,11.22,0.09,0.09,-0.44,1721201373011
-0.98,1.58,10.65,0.14,-0.12,-0.40,1721201373021
-1.70,-0.87,10.68,0.03,-0.03,-0.42,1721201373031
-2.96,2.47,10.75,0.24,-0.15,-0.37,1721201373041
-2.36,-2.95,6.56,0.00,-0.10,-0.34,1721201373051
-0.47,4.50,17.50,0.13,-0.06,-0.25,1721201373061
1.27,0.66,4.71,0.27,-0.24,-0.14,1721201373071
1.92,3.28,9.39,-0.09,0.13,-0.35,1721201373081
1.50,0.83,13.39,-0.00,-0.31,-0.65,1721201373091
-1.48,0.57,6.38,0.15,-0.16,-0.59,1721201373101
-1.82,2.09,7.81,-0.02,0.08,-0.43,1721201373111
-3.32,-0.88,8.68,-0.11,-0.27,-0.33,1721201373121
-2.35,3.49,11.98,0.05,0.02,-0.25,1721201373131
1.83,0.48,7.88,-0.03,-0.09,-0.22,1721201373141
-0.73,0.77,12.34,-0.24,-0.15,-0.31,1721201373151
-1.43,4.54,11.27,0.07,-0.06,-0.46,1721201373161
-1.34,-2.65,5.77,-0.24,-0.16,-0.44,1721201373171
-4.81,-4.09,9.43,-0.17,-0.23,-0.20,1721201373181
-1.23,-1.81,11.40,-0.05,0.01,-0.03,1721201373191
-1.53,-3.37,7.53,-0.08,-0.36,-0.07,1721201373201
0.32,-2.65,10.38,-0.12,0.08,-0.32,1721201373211
2.53,-6.16,10.96,-0.13,-0.22,-0.32,1721201373221
-2.25,-1.30,9.92,-0.09,-0.14,-0.37,1721201373231
-1.98,2.95,13.04,-0.13,0.13,-0.45,1721201373241
-2.42,-5.93,12.18,-0.20,-0.31,-0.31,1721201373251
-1.80,-1.80,12.22,0.01,0.00,-0.07,1721201373261
4.20,-1.43,12.27,-0.05,0.10,-0.08,1721201373271
-1.18,-2.31,9.55,-0.13,-0.46,-0.35,1721201373281
3.22,-1.47,13.89,0.01,0.30,-0.48,1721201373291
4.27,-4.64,10.58,-0.03,-0.18,-0.30,1721201373301
-2.02,-0.87,9.17,0.05,-0.11,-0.34,1721201373311
2.52,-2.28,13.55,0.11,0.28,-0.54,1721201373321
3.32,-7.63,7.32,0.06,-0.27,-0.29,1721201373331
0.03,-0.14,11.47,0.10,0.21,-0.41,1721201373341
0.48,-2.61,12.87,0.11,-0.04,-0.55,1721201373351
0.24,-1.15,10.38,0.09,0.14,-0.53,1721201373361
2.51,-5.90,9.17,0.05,0.15,-0.35,1721201373371
-1.07,-0.81,10.61,0.04,0.21,-0.57,1721201373381
-1.93,-1.25,8.12,0.17,-0.13,-0.48,1721201373391
-0.67,-3.74,11.17,0.03,0.21,-0.30,1721201373401
1.70,-0.51,16.81,0.17,0.35,-0.25,1721201373411
1.86,1.87,8.44,0.22,0.11,-0.23,1721201373421
-0.11,-1.82,7.28,-0.02,0.16,-0.25,1721201373431
1.38,1.33,12.86,0.19,0.31,-0.38,1721201373441
2.35,-0.02,10.69,0.11,0.24,-0.52,1721201373451
-1.85,1.74,9.82,0.19,-0.00,-0.42,1721201373461
-2.64,0.34,4.86,0.11,0.26,-0.46,1721201373471
-1.31,2.21,10.62,0.04,0.39,-0.41,1721201373481
-1.74,0.37,11.79,0.01,0.13,-0.31,1721201373491
-1.29,1.16,10.60,0.10,0.20,-0.19,1721201373501
1.09,1.85,8.68,0.04,0.37,-0.30,1721201373511
1.77,1.32,12.45,-0.07,0.26,-0.47,1721201373521
-0.17,2.75,9.18,0.08,0.18,-0.55,1721201373531
-1.37,-0.43,6.13,-0.15,0.26,-0.41,1721201373541
-1.05,0.30,13.92,-0.07,0.33,-0.36,1721201373551
-0.41,-2.99,7.30,-0.06,0.07,-0.21,1721201373561
1.70,2.23,14.85,-0.14,0.45,-0.25,1721201373571
2.47,1.08,7.85,0.03,0.12,-0.39,1721201373581
1.58,-4.52,5.96,-0.35,0.32,-0.52,1721201373591
-0.13,-0.85,15.15,-0.20,0.22,-0.62,1721201373601
-0.28,-2.66,5.19,-0.03,0.19,-0.39,1721201373611
-0.06,1.94,12.75,-0.29,0.59,-0.46,1721201373621
-0.41,1.44,13.62,0.02,0.10,-0.46,1721201373631
-0.65,-3.01,5.00,-0.23,0.42,-0.42,1721201373641
-2.56,-1.99,16.04,-0.23,0.30,-0.56,1721201373651
-1.84,0.93,11.18,0.18,0.27,-0.44,1721201373661
-0.98,2.08,3.39,-0.07,0.42,-0.46,1721201373671
-0.40,1.54,17.13,-0.14,0.42,-0.54,1721201373681
-4.18,-4.38,8.89,0.13,0.12,-0.53,1721201373691
-3.06,-5.98,7.07,-0.21,0.43,-0.41,1721201373701
-1.15,-2.42,14.80,-0.00,0.28,-0.35,1721201373711
-2.18,-0.06,8.69,0.08,0.24,-0.36,1721201373721
-3.49,-6.45,7.77,0.00,0.25,-0.45,1721201373731
-3.86,-4.75,13.55,0.09,0.31,-0.34,1721201373741
-4.39,-3.12,12.18,0.05,0.33,-0.24,1721201373751
-3.44,1.77,11.77,0.18,0.12,-0.17,1721201373761
-1.29,-0.90,10.26,0.05,0.24,-0.23,1721201373771
-2.26,1.82,12.43,0.25,0.05,-0.23,1721201373781
-1.88,-1.13,5.19,-0.00,0.17,-0.20,1721201373791
-3.10,3.45,15.31,0.13,0.15,-0.18,1721201373801
-2.38,1.32,6.49,0.29,-0.03,-0.13,1721201373811
-2.75,3.48,10.33,0.07,0.26,-0.11,1721201373821
-3.02,5.83,9.56,0.28,-0.09,-0.15,1721201373831
-2.07,-0.06,7.49,0.07,0.06,0.01,1721201373841
-0.85,1.41,13.91,0.23,0.02,0.18,1721201373851
-0.30,0.97,6.34,0.19,0.01,0.13,1721201373861
1.24,5.15,12.62,0.09,0.12,-0.07,1721201373871
1.48,1.40,8.70,0.16,-0.13,-0.13,1721201373881
-1.92,0.62,8.43,-0.01,0.09,-0.15,1721201373891
-3.78,-0.14,11.10,0.04,-0.08,-0.07,1721201373901
-4.30,0.70,7.15,0.07,-0.10,0.20,1721201373911
-1.21,0.47,8.90,-0.01,0.05,0.36,1721201373921
1.89,-0.34,11.62,-0.03,0.02,0.28,1721201373931
1.18,-0.57,11.86,-0.08,-0.08,0.16,1721201373941
1.03,1.20,9.54,-0.10,0.01,0.05,1721201373951
-0.84,-1.65,9.99,-0.11,-0.15,0.04,1721201373961
-2.57,-2.79,7.37,-0.16,-0.11,0.14,1721201373971
-1.86,-4.92,13.04,-0.26,0.12,0.22,1721201373981
-1.90,0.55,12.75,-0.04,-0.17,0.31,1721201373991
-0.11,-3.10,4.42,-0.06,-0.13,0.39,1721201374001
1.93,-4.66,10.42,-0.29,0.04,0.34,1721201374011
3.74,-1.94,14.97,-0.13,0.04,0.21,1721201374021
2.79,-5.05,6.42,-0.18,-0.11,0.04,1721201374031
0.23,-3.31,12.29,-0.27,0.05,0.02,1721201374041
-0.68,-2.79,8.30,-0.08,-0.19,0.09,1721201374051
1.44,-5.60,10.19,-0.32,0.26,0.04,1721201374061
1.29,-0.55,14.88,-0.07,-0.00,-0.01,1721201374071
1.52,-3.89,7.91,-0.17,-0.03,-0.06,1721201374081
0.17,0.64,13.92,-0.08,0.14,-0.05,1721201374091
-1.38,-1.28,9.12,-0.03,-0.05,-0.08,1721201374101
-0.52,2.40,11.99,-0.07,0.28,-0.08,1721201374111
1.57,1.36,12.45,0.09,-0.04,0.01,1721201374121
2.57,2.79,11.67,0.01,0.27,-0.04,1721201374131
1.06,4.56,8.95,0.27,-0.07,-0.17,1721201374141
0.99,2.61,13.29,0.17,0.17,-0.34,1721201374156
0.48,3.95,14.64,0.31,0.14,-0.39,1721201374160
-1.54,2.23,8.08,0.33,0.07,-0.29,1721201374170
-3.10,1.67,11.16,0.24,0.21,-0.16,1721201374180
-2.35,3.80,11.48,0.41,0.08,0.02,1721201374190
1.25,0.14,7.73,0.27,0.25,0.11,1721201374200
2.38,2.03,11.76,0.23,0.22,-0.01,1721201374210
3.22,2.97,8.81,0.27,0.20,-0.24,1721201374220
1.42,1.79,6.29,0.15,0.12,-0.37,1721201374230
-0.51,0.67,11.74,0.02,0.26,-0.39,1721201374240
-1.92,-0.03,10.35,0.18,0.16,-0.22,1721201374250
-1.52,-1.33,7.47,-0.06,0.26,-0.08,1721201374260
-0.66,1.67,13.35,0.05,0.23,-0.07,1721201374270
0.90,0.25,7.91,0.00,0.19,-0.05,1721201374280
1.83,-1.48,11.65,-0.17,0.27,-0.11,1721201374290
1.81,-3.57,11.65,-0.01,0.20,-0.22,1721201374300
1.12,-3.02,5.79,-0.04,0.25,-0.19,1721201374310
0.10,-2.77,10.66,-0.22,0.25,-0.35,1721201374320
-2.02,-3.16,10.01,-0.02,0.10,-0.33,1721201374330
-0.97,-3.53,10.27,-0.11,0.35,-0.28,1721201374340
-3.48,-1.25,12.48,-0.02,0.15,-0.31,1721201374350
-4.46,-3.44,7.54,-0.18,0.26,-0.20,1721201374360
-4.48,-5.50,9.11,-0.23,0.25,-0.05,1721201374370
-3.58,-3.61,11.58,-0.11,0.17,0.08,1721201374380
-2.97,-6.64,9.94,-0.14,0.04,0.20,1721201374390
-1.23,-3.91,9.62,0.02,0.29,0.21,1721201374400
0.76,-2.90,13.27,-0.06,0.11,0.11,1721201374410
-0.39,2.04,11.88,-0.09,0.08,0.04,1721201374420
-1.75,-2.10,10.98,-0.05,0.12,-0.03,1721201374430
-3.13,-3.75,8.43,-0.06,-0.09,0.08,1721201374440
-1.27,-4.05,9.48,-0.05,0.13,0.22,1721201374450
-1.11,6.05,11.21,0.11,0.09,0.26,1721201374460
-0.37,4.22,10.34,0.12,-0.05,0.10,1721201374470
-2.68,3.31,10.63,0.01,-0.09,0.05,1721201374480
-3.01,3.19,9.08,0.12,-0.03,0.16,1721201374490
0.82,1.36,10.30,0.08,0.12,0.49,1721201374500
2.66,2.98,9.27,0.26,-0.03,0.39,1721201374510
4.47,2.61,8.33,0.13,0.11,0.11,1721201374520
2.91,4.61,13.34,0.09,0.05,-0.17,1721201374530
-2.58,6.95,9.23,0.03,-0.01,-0.47,1721201374540
