AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.18,-0.80,13.13,0.02,0.24,-0.25,1721201506291
-0.76,0.02,10.84,0.05,0.13,-0.32,1721201506295
0.52,-0.15,12.53,0.05,0.29,-0.31,1721201506305
-0.68,-2.96,14.14,0.07,0.25,-0.35,1721201506315
-3.25,2.71,10.32,0.20,0.13,-0.25,1721201506325
-0.43,-2.15,9.39,0.06,0.40,-0.24,1721201506335
-2.01,-0.92,12.00,0.23,0.00,-0.21,1721201506345
0.16,-4.74,9.90,0.17,0.35,-0.40,1721201506355
-3.12,-0.08,11.20,0.42,-0.13,-0.37,1721201506365
-2.96,-2.94,3.57,0.14,0.35,-0.38,1721201506375
-3.96,-4.75,13.69,0.11,0.00,-0.36,1721201506385
-3.73,-2.31,9.26,0.32,0.22,-0.15,1721201506395
-0.95,-5.72,6.56,0.08,0.30,0.02,1721201506405
-0.29,-0.91,14.04,0.01,0.23,-0.02,1721201506415
1.16,-0.23,14.94,0.21,0.22,-0.33,1721201506425
-2.58,1.58,8.07,0.28,0.01,-0.37,1721201506435
-3.75,-6.96,4.67,-0.15,0.13,-0.41,1721201506445
-4.82,0.38,19.55,0.12,0.10,-0.12,1721201506455
-2.16,-0.77,1.60,0.28,0.09,0.09,1721201506465
-0.46,-0.33,9.37,-0.10,0.25,-0.02,1721201506475
0.16,-0.10,11.89,0.14,-0.00,-0.13,1721201506485
-0.59,-2.10,7.94,-0.07,0.32,-0.31,1721201506495
-2.79,3.97,16.05,0.20,-0.03,-0.25,1721201506505
-2.01,-1.00,3.07,0.17,0.01,0.09,1721201506515
-0.60,1.39,13.66,0.00,0.21,0.28,1721201506525
2.73,5.68,9.28,0.40,0.01,0.16,1721201506535
2.95,-5.77,6.88,-0.24,0.13,-0.17,1721201506545
-3.10,6.17,15.18,0.18,-0.18,-0.42,1721201506555
-3.24,0.28,2.94,0.11,0.22,-0.37,1721201506565
-5.67,-1.51,13.77,-0.20,-0.08,0.09,1721201506575
-4.94,3.52,14.09,0.18,0.00,0.40,1721201506585
0.28,2.73,8.74,0.02,0.17,0.32,1721201506595
0.35,2.37,11.37,-0.06,-0.17,0.20,1721201506605
-1.54,0.25,6.83,-0.12,-0.11,0.13,1721201506615
-0.86,-2.17,11.39,-0.14,-0.03,0.17,1721201506625
-1.50,-3.53,5.91,-0.04,-0.16,0.24,1721201506635
-1.67,-4.36,10.85,-0.34,0.01,0.30,1721201506645
-0.18,0.21,15.03,0.01,-0.14,0.35,1721201506655
0.51,-6.91,3.00,-0.23,-0.04,0.39,1721201506665
-1.74,-1.83,18.33,-0.31,-0.04,0.27,1721201506675
-1.20,-2.57,9.36,0.02,-0.32,0.34,1721201506685
-2.06,-5.94,4.57,-0.29,-0.11,0.49,1721201506695
-3.17,-0.73,15.20,-0.05,-0.24,0.52,1721201506705
1.31,-4.63,12.71,-0.13,-0.14,0.81,1721201506715
2.71,0.87,10.96,-0.08,-0.05,0.73,1721201506725
2.22,-2.20,5.95,-0.33,-0.06,0.30,1721201506735
1.33,-3.28,13.26,-0.27,-0.29,-0.01,1721201506745
0.08,-8.15,6.54,-0.09,-0.29,0.24,1721201506755
-2.27,0.41,11.88,-0.11,-0.09,0.32,1721201506765
0.78,-3.30,11.23,0.12,-0.23,0.47,1721201506775
2.92,-5.76,7.70,-0.13,0.06,0.38,1721201506785
0.59,1.87,13.41,0.11,-0.22,0.24,1721201506795
1.22,-1.88,9.67,0.03,-0.03,0.20,1721201506805
2.85,-3.53,15.23,0.04,-0.07,0.09,1721201506815
1.92,1.88,10.83,0.30,-0.09,0.09,1721201506825
0.78,-3.75,5.65,-0.07,-0.03,0.14,1721201506835
1.20,-1.12,16.23,0.06,-0.02,0.28,1721201506845
2.15,-1.17,9.12,0.16,-0.02,0.21,1721201506855
3.34,0.29,8.89,0.11,0.06,0.08,1721201506865
3.88,-1.46,11.74,-0.07,0.08,-0.13,1721201506875
2.09,3.47,16.37,0.29,-0.04,-0.14,1721201506885
0.91,-2.77,7.04,0.18,0.10,-0.01,1721201506895
-0.00,2.24,13.26,0.21,0.20,0.05,1721201506905
0.54,4.55,8.48,0.45,0.05,0.01,1721201506915
2.13,-1.23,6.47,0.15,0.26,-0.09,1721201506925
0.84,3.10,13.10,0.29,0.15,-0.23,1721201506935
0.55,-0.03,8.49,0.20,0.16,-0.19,1721201506945
-0.25,-2.17,9.42,0.10,0.18,-0.15,1721201506955
-0.15,3.94,12.74,0.20,0.23,-0.15,1721201506965
1.41,3.22,7.79,0.13,0.24,-0.22,1721201506975
1.46,2.14,11.21,0.01,0.30,-0.33,1721201506985
-1.08,0.09,9.26,-0.02,0.20,-0.41,1721201506995
-2.72,1.71,9.97,0.04,0.25,-0.33,1721201507005
-1.20,0.80,10.82,0.01,0.35,-0.29,1721201507015
-1.34,0.69,8.48,0.04,0.15,-0.16,1721201507025
-1.22,0.40,8.46,-0.14,0.22,-0.10,1721201507035
0.39,2.34,10.78,-0.01,0.27,-0.22,1721201507045
3.65,-5.79,9.03,-0.30,0.31,-0.26,1721201507055
1.19,-2.43,17.31,0.05,0.13,-0.27,1721201507065
-0.18,-3.85,2.04,0.02,0.19,-0.29,1721201507075
-1.83,4.09,13.21,-0.16,0.56,-0.42,1721201507085
-1.21,-0.75,10.60,0.10,0.17,-0.20,1721201507095
0.68,-9.00,2.56,-0.24,0.36,0.01,1721201507105
-0.66,-2.49,16.04,-0.22,0.48,-0.31,1721201507115
-0.95,-1.50,9.65,0.03,0.28,-0.48,1721201507125
-5.88,1.80,12.40,-0.16,0.32,-0.44,1721201507135
-5.53,-2.71,11.95,-0.02,0.11,-0.11,1721201507145
-4.74,-4.95,10.73,-0.12,0.16,0.17,1721201507155
0.90,-5.77,9.48,0.03,0.34,0.18,1721201507165
1.84,-3.47,9.45,-0.10,0.37,-0.08,1721201507175
-1.86,-3.34,9.19,-0.05,0.01,-0.29,1721201507185
-8.66,-4.11,6.19,-0.08,0.09,-0.25,1721201507195
-5.03,1.58,14.31,-0.16,0.47,0.03,1721201507205
-1.14,-0.26,18.67,0.12,0.02,0.23,1721201507215
-1.50,-2.20,6.62,0.04,-0.05,0.36,1721201507225
-0.76,-4.94,12.50,-0.10,0.23,0.29,1721201507235
-1.47,3.79,11.68,0.21,-0.09,0.25,1721201507245
-0.58,3.22,4.98,0.01,0.03,0.13,1721201507255
-1.69,1.66,13.01,-0.08,0.04,0.03,1721201507265
-1.54,-2.59,15.59,0.09,-0.01,0.15,1721201507275
-6.53,5.88,8.53,0.35,-0.18,0.38,1721201507285
1.13,6.74,9.43,0.23,0.22,0.60,1721201507295
2.56,3.43,11.20,0.26,-0.32,0.65,1721201507305
1.99,2.19,7.49,0.20,0.03,0.29,1721201507315
2.32,3.60,13.14,0.19,0.00,0.07,1721201507325
-1.93,5.24,9.15,0.18,-0.26,0.12,1721201507335
-3.56,2.54,5.09,0.13,-0.05,0.29,1721201507345
-1.65,-2.59,9.19,-0.16,-0.03,0.54,1721201507355
-0.77,2.33,9.19,0.22,-0.26,0.61,1721201507365
2.11,-2.28,5.03,-0.15,0.10,0.40,1721201507375
0.61,7.14,16.64,0.14,-0.22,0.23,1721201507385
1.31,-7.41,6.46,-0.28,-0.13,0.26,1721201507395
-2.93,3.98,21.66,-0.03,-0.13,0.05,1721201507405
-5.64,-0.05,1.77,0.11,-0.48,0.02,1721201507415
-6.56,-11.77,8.43,-0.37,-0.19,0.68,1721201507425
2.25,-0.17,11.35,0.41,0.05,1.05,1721201507435
7.37,-1.47,3.01,-0.39,0.09,0.49,1721201507445
1.07,5.04,17.52,-0.41,-0.65,-0.19,1721201507455
-7.08,1.41,6.02,-0.00,-0.51,-0.29,1721201507465
-9.01,-4.66,6.31,-0.26,-0.15,0.50,1721201507475
-2.70,-1.87,15.28,-0.18,-0.10,1.45,1721201507485
6.08,-2.54,11.16,-0.08,-0.11,1.32,1721201507495
9.42,-0.84,7.67,-0.18,-0.19,0.63,1721201507505
8.99,1.18,10.86,-0.13,-0.30,0.11,1721201507515
2.93,-0.35,8.54,-0.15,-0.37,-0.18,1721201507525
-1.24,-1.17,10.16,-0.21,-0.24,-0.08,1721201507535
-3.88,-5.33,10.87,-0.21,-0.35,0.22,1721201507545
-2.83,-0.24,11.60,-0.08,-0.22,0.52,1721201507555
2.15,-3.62,8.31,-0.25,-0.16,0.61,1721201507565
4.25,2.64,15.80,-0.14,-0.10,0.30,1721201507575
4.40,-0.14,9.60,-0.03,-0.26,0.02,1721201507585
1.30,-3.33,8.16,-0.27,-0.17,-0.13,1721201507595
-2.52,4.41,12.76,0.01,-0.32,-0.00,1721201507605
-0.32,-0.08,4.41,-0.06,-0.16,0.33,1721201507615
4.37,-1.75,13.43,-0.24,0.03,0.34,1721201507625
3.54,1.08,16.10,-0.00,-0.24,-0.04,1721201507635
1.02,-1.14,7.49,-0.09,-0.24,-0.26,1721201507645
-3.12,4.03,11.23,-0.02,-0.23,-0.16,1721201507655
-2.05,-2.44,7.82,-0.04,-0.15,0.05,1721201507665
-0.11,0.19,17.07,-0.04,-0.06,0.18,1721201507675
2.39,3.70,9.65,0.28,-0.24,0.15,1721201507685
2.52,-2.46,3.51,-0.03,-0.12,-0.01,1721201507695
2.28,6.41,18.10,0.14,-0.02,-0.20,1721201507705
