AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
2.10,0.29,11.67,-0.07,-0.09,0.47,1721201787147
3.15,0.01,11.12,-0.07,-0.06,0.44,1721201787151
4.51,1.90,10.84,-0.06,-0.08,0.22,1721201787161
2.79,0.90,7.23,-0.19,-0.16,-0.06,1721201787171
0.12,1.25,11.71,-0.20,-0.08,-0.24,1721201787181
-3.52,0.89,9.99,-0.12,-0.19,-0.22,1721201787191
-4.85,-1.16,12.53,-0.23,-0.06,0.02,1721201787201
-4.45,2.66,12.40,-0.04,-0.18,0.27,1721201787211
-3.79,1.81,5.32,-0.14,-0.09,0.37,1721201787221
-2.19,-1.56,7.67,-0.25,-0.17,0.50,1721201787231
-0.50,0.72,12.20,-0.22,-0.14,0.47,1721201787241
1.00,1.11,11.19,-0.12,-0.18,0.46,1721201787251
1.38,0.82,10.59,-0.15,-0.13,0.33,1721201787261
0.63,0.14,9.35,-0.20,-0.26,0.33,1721201787271
1.17,-0.30,11.30,-0.23,-0.12,0.31,1721201787281
1.64,0.30,10.90,-0.02,-0.16,0.33,1721201787291
2.04,-0.20,8.58,-0.06,-0.18,0.28,1721201787301
0.23,1.76,11.77,-0.09,-0.15,0.25,1721201787311
-1.09,-0.41,10.74,-0.11,-0.17,0.13,1721201787321
-1.98,0.74,12.81,-0.12,-0.25,0.20,1721201787331
-3.29,0.45,9.90,0.01,-0.24,0.34,1721201787341
-2.39,-0.52,8.36,0.05,-0.17,0.52,1721201787351
-0.54,-2.56,8.30,0.00,-0.17,0.58,1721201787361
0.83,2.05,14.79,-0.07,-0.19,0.55,1721201787371
1.30,4.06,12.18,0.17,-0.30,0.54,1721201787381
2.96,-1.37,3.40,0.12,-0.21,0.46,1721201787391
3.31,-0.51,8.86,-0.24,-0.11,0.32,1721201787401
1.90,-1.32,14.50,-0.06,-0.28,0.24,1721201787411
-0.39,-0.02,10.47,0.04,-0.30,0.19,1721201787421
-0.12,-0.09,8.12,-0.03,-0.20,0.26,1721201787431
-0.49,-1.67,11.88,-0.14,-0.20,0.33,1721201787441
-1.68,-0.56,14.31,-0.06,-0.21,0.34,1721201787451
-1.97,-2.65,8.74,-0.05,-0.25,0.46,1721201787461
-0.90,-1.01,10.15,-0.06,-0.19,0.58,1721201787471
2.04,2.97,11.90,0.01,-0.16,0.52,1721201787481
3.01,-0.80,9.61,-0.10,-0.23,0.41,1721201787491
2.09,0.27,11.24,-0.08,-0.19,0.20,1721201787501
0.60,-0.83,7.08,-0.02,-0.28,0.07,1721201787511
-1.05,-1.00,8.87,-0.15,-0.20,0.12,1721201787521
-0.17,-1.24,12.27,-0.10,-0.18,0.24,1721201787531
-0.05,-1.51,9.89,-0.02,-0.23,0.23,1721201787541
-0.69,-0.36,8.47,-0.07,-0.20,0.12,1721201787551
0.47,-0.77,10.51,-0.25,-0.13,0.09,1721201787561
-0.24,-1.44,11.23,-0.11,-0.32,0.11,1721201787571
-0.65,-2.93,8.72,-0.15,-0.21,0.06,1721201787581
0.40,0.68,11.61,-0.01,-0.22,0.16,1721201787591
1.07,-0.84,6.91,0.04,-0.19,0.14,1721201787601
1.33,-1.80,10.95,-0.19,-0.17,-0.00,1721201787611
1.17,2.18,13.27,-0.01,-0.24,-0.04,1721201787621
1.12,-0.82,8.94,0.08,-0.17,0.01,1721201787631
0.68,-1.06,9.92,-0.20,-0.12,-0.06,1721201787641
0.09,2.82,12.50,-0.01,-0.24,-0.17,1721201787651
-0.62,0.15,8.40,0.07,-0.13,-0.28,1721201787661
-0.46,-0.21,9.93,-0.03,-0.13,-0.17,1721201787671
0.18,-0.70,10.33,0.08,-0.19,-0.07,1721201787681
1.61,1.01,10.26,0.07,-0.03,-0.09,1721201787691
1.81,1.65,11.92,0.09,-0.10,-0.14,1721201787701
1.36,2.92,11.44,0.08,-0.07,-0.29,1721201787711
1.44,0.34,8.57,0.11,-0.13,-0.42,1721201787721
1.53,-3.59,9.26,0.01,-0.05,-0.47,1721201787731
0.30,1.30,13.00,0.24,-0.09,-0.41,1721201787741
0.95,2.21,10.19,0.21,0.11,-0.40,1721201787751
0.27,3.57,9.36,0.16,-0.02,-0.45,1721201787761
1.19,-2.64,9.95,-0.05,0.02,-0.56,1721201787771
1.59,-0.91,13.18,0.09,0.03,-0.56,1721201787781
1.12,-3.06,7.41,0.11,0.05,-0.57,1721201787791
-0.32,0.17,7.87,0.15,0.12,-0.61,1721201787801
0.68,-1.14,11.46,0.07,0.18,-0.73,1721201787811
0.35,0.59,13.77,0.19,0.05,-0.73,1721201787821
-0.85,-0.36,9.68,0.12,0.17,-0.69,1721201787831
-1.82,0.83,8.83,0.12,0.16,-0.60,1721201787841
-0.21,-2.78,8.94,0.02,0.18,-0.56,1721201787851
1.01,-2.57,11.41,0.09,0.16,-0.63,1721201787861
2.35,2.21,10.52,0.23,0.24,-0.76,1721201787871
1.24,-2.05,8.72,-0.00,0.24,-0.85,1721201787881
-2.24,1.00,15.67,0.05,0.23,-0.93,1721201787891
-3.08,0.15,6.69,0.19,0.14,-0.83,1721201787901
-2.49,-1.47,7.57,-0.02,0.36,-0.73,1721201787911
-1.41,-0.75,13.24,0.11,0.24,-0.66,1721201787921
-1.30,3.02,8.53,0.23,0.23,-0.64,1721201787931
-0.23,-1.75,7.91,-0.04,0.30,-0.70,1721201787941
-0.78,1.29,15.36,0.08,0.28,-0.78,1721201787951
-1.53,-3.79,5.21,0.10,0.09,-0.69,1721201787961
-2.46,1.69,13.86,0.01,0.41,-0.63,1721201787971
-1.10,0.77,9.65,0.27,0.19,-0.50,1721201787981
-1.07,-0.12,5.20,0.04,0.28,-0.50,1721201787991
-0.46,1.91,12.85,0.04,0.30,-0.66,1721201788001
-1.43,-1.34,10.42,0.14,0.16,-0.63,1721201788011
-3.28,1.36,10.34,0.10,0.29,-0.55,1721201788021
-3.02,0.65,11.10,0.09,0.21,-0.37,1721201788031
-2.11,1.56,11.35,0.14,0.28,-0.26,1721201788041
-0.44,1.15,7.90,0.15,0.22,-0.29,1721201788051
0.54,1.85,9.82,0.09,0.28,-0.39,1721201788061
-0.11,-0.31,8.31,0.05,0.14,-0.48,1721201788071
-1.52,1.24,13.01,0.05,0.24,-0.42,1721201788081
-1.30,-0.56,9.25,0.17,0.23,-0.29,1721201788091
-1.54,1.13,11.12,0.05,0.30,-0.26,1721201788101
-1.72,1.02,11.99,0.08,0.14,-0.25,1721201788111
-2.50,1.81,7.69,0.13,0.14,-0.16,1721201788121
-1.43,-2.38,9.68,-0.11,0.29,-0.07,1721201788131
-0.57,1.52,14.46,0.17,0.13,0.03,1721201788141
1.08,-1.26,2.50,0.09,0.17,0.13,1721201788151
1.42,1.02,14.28,-0.20,0.37,-0.08,1721201788161
-0.63,1.70,13.86,0.23,-0.03,-0.18,1721201788171
-1.89,-3.71,2.69,-0.04,0.22,0.01,1721201788181
-2.09,1.65,15.43,-0.04,0.27,0.16,1721201788191
-1.39,-0.01,8.40,0.20,-0.07,0.32,1721201788201
1.27,-3.51,9.22,-0.20,0.36,0.35,1721201788211
0.79,5.51,14.41,0.18,0.02,0.15,1721201788221
0.84,-1.64,2.96,-0.06,0.10,-0.02,1721201788231
-2.02,0.93,13.90,-0.14,0.15,0.10,1721201788241
-1.27,0.22,10.83,0.09,0.09,0.31,1721201788251
-0.11,0.01,9.71,-0.10,0.20,0.42,1721201788261
1.31,2.70,10.96,0.01,0.08,0.36,1721201788271
1.75,0.69,7.17,-0.11,0.14,0.22,1721201788281
-0.02,1.32,12.95,-0.14,0.12,0.12,1721201788291
-0.87,-0.59,9.62,-0.04,0.05,0.31,1721201788301
-1.48,1.98,9.24,-0.07,0.16,0.54,1721201788311
1.19,2.07,11.52,-0.05,0.20,0.49,1721201788321
-1.46,-8.64,8.25,-0.10,-0.05,0.08,1721201788331
-9.01,3.51,8.70,-0.07,-0.24,-0.04,1721201788341
-11.07,-4.80,12.49,-0.47,-0.01,0.72,1721201788351
-2.09,-4.49,21.79,0.06,-0.13,2.23,1721201788361
10.60,-2.38,3.03,0.37,0.55,1.97,1721201788371
16.76,-0.57,-1.43,-0.30,0.20,0.72,1721201788381
13.46,1.80,9.69,-0.66,-0.09,-0.72,1721201788391
4.17,2.04,11.29,-0.38,-0.59,-1.20,1721201788401
-8.75,-5.71,10.24,-0.22,-0.03,-0.85,1721201788411
-14.53,-3.84,8.88,-0.19,-0.18,0.18,1721201788421
-12.94,-5.32,9.92,-0.23,-0.11,1.12,1721201788431
-0.26,-0.51,16.42,-0.25,0.38,1.55,1721201788441
6.54,4.17,15.12,0.03,0.16,1.21,1721201788451
7.69,-0.34,5.22,-0.04,0.03,0.52,1721201788461
7.97,-1.84,8.58,-0.52,0.03,-0.09,1721201788471
2.56,2.20,12.37,-0.15,-0.34,-0.44,1721201788481
0.47,1.78,11.25,0.02,-0.16,-0.37,1721201788491
-4.11,-3.25,13.39,-0.24,-0.12,0.05,1721201788501
-2.25,1.49,17.50,0.05,0.08,0.28,1721201788511
-0.36,-1.82,9.85,0.21,-0.04,0.31,1721201788521
-0.15,2.80,9.66,0.10,0.04,0.23,1721201788531
2.85,3.07,11.23,0.27,0.07,0.08,1721201788541
0.40,-1.95,10.46,0.20,-0.12,-0.10,1721201788551
-1.64,0.85,10.09,0.28,0.00,-0.11,1721201788561
-2.31,1.49,7.10,0.37,-0.08,-0.01,1721201788571
-2.45,-1.11,4.60,0.12,-0.06,0.15,1721201788581
-0.24,0.67,13.96,0.08,0.05,0.06,1721201788591
1.62,-0.87,10.48,0.36,-0.05,0.15,1721201788601
0.33,-5.07,4.72,0.00,0.02,0.07,1721201788611
-0.94,4.85,19.49,-0.09,0.10,-0.19,1721201788621
-2.87,2.09,7.88,0.40,-0.37,-0.23,1721201788631
-1.72,-8.46,3.21,-0.17,0.10,0.01,1721201788641
-5.01,0.71,15.63,0.12,-0.15,0.18,1721201788651
-0.69,-2.82,3.41,0.22,-0.14,0.11,1721201788661
4.25,4.00,11.40,-0.03,0.31,0.03,1721201788671
5.48,1.57,8.04,0.22,-0.20,-0.20,1721201788681
0.69,0.37,7.35,-0.23,0.02,-0.62,1721201788691
-2.63,2.60,18.56,-0.08,0.01,-0.89,1721201788701
-8.83,4.52,12.17,0.18,-0.37,-0.63,1721201788711
-13.02,1.83,1.51,0.13,-0.08,-0.03,1721201788721
