AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
5.78,-3.03,9.11,0.05,0.09,-0.48,1721200866151
2.94,3.50,15.04,0.06,0.02,-0.73,1721200866156
-0.99,-5.24,5.09,0.21,-0.26,-0.73,1721200866166
-4.20,-4.01,11.80,0.01,0.22,-0.54,1721200866176
-1.25,-6.20,11.61,0.28,-0.06,0.01,1721200866186
2.31,-1.91,12.17,0.02,0.36,-0.07,1721200866196
1.95,-0.25,6.12,0.21,-0.16,-0.26,1721200866206
2.88,-0.59,10.70,-0.08,0.41,-0.60,1721200866216
-0.10,-1.66,15.30,0.31,-0.09,-0.24,1721200866226
0.68,-0.02,7.65,0.08,0.43,-0.15,1721200866236
1.19,1.54,8.91,0.08,0.01,-0.22,1721200866246
4.22,-0.08,15.98,-0.07,0.51,-0.31,1721200866256
0.90,-1.95,6.21,0.25,-0.09,-0.40,1721200866266
0.42,-2.32,4.03,-0.13,0.51,-0.49,1721200866276
-0.45,2.40,16.17,0.12,0.17,-0.44,1721200866286
1.39,1.74,11.36,0.09,0.40,-0.40,1721200866296
0.28,1.72,8.85,0.12,0.28,-0.37,1721200866306
-0.19,-0.07,10.57,-0.03,0.44,-0.53,1721200866316
-2.96,0.09,11.60,0.25,0.19,-0.53,1721200866326
-2.88,-0.83,6.79,0.09,0.38,-0.29,1721200866336
-0.86,0.92,13.50,0.10,0.40,-0.12,1721200866346
1.70,4.11,7.99,0.18,0.35,-0.25,1721200866356
2.14,-0.49,5.07,-0.14,0.39,-0.50,1721200866366
-2.38,1.74,15.14,0.01,0.36,-0.63,1721200866376
-2.81,0.52,12.72,0.09,0.40,-0.35,1721200866386
-2.72,0.28,5.20,0.10,0.18,0.08,1721200866396
1.15,2.48,11.71,-0.10,0.57,-0.16,1721200866406
1.21,-3.21,8.83,-0.00,0.08,-0.40,1721200866416
-4.27,1.54,10.52,0.06,0.28,-0.47,1721200866426
-3.24,-1.54,8.79,-0.05,0.41,-0.21,1721200866436
-3.81,-1.07,10.04,-0.01,0.22,0.19,1721200866446
1.66,-0.17,11.37,-0.13,0.53,0.12,1721200866456
3.97,2.64,15.42,0.12,0.28,-0.11,1721200866466
3.07,-1.20,3.34,0.01,0.27,-0.35,1721200866476
-2.01,-3.18,11.21,-0.21,0.30,-0.38,1721200866486
-4.35,-4.36,12.05,0.11,0.21,-0.09,1721200866496
-3.07,1.72,11.28,0.14,0.36,0.14,1721200866506
0.88,-4.05,5.85,-0.26,0.42,0.04,1721200866516
-2.33,-0.46,15.45,0.04,0.11,-0.06,1721200866526
-1.09,-4.71,6.36,-0.12,0.32,-0.02,1721200866536
-4.96,-3.04,16.04,0.03,0.09,0.04,1721200866546
-2.58,2.96,5.40,0.05,0.33,0.05,1721200866556
-1.31,-1.01,7.92,-0.10,0.23,0.07,1721200866566
-1.59,-3.00,15.62,-0.15,0.20,0.02,1721200866576
-1.70,-1.67,10.95,0.16,0.03,0.10,1721200866586
-2.31,-6.39,3.70,-0.12,0.15,0.32,1721200866596
-2.26,0.98,17.61,-0.01,0.30,0.40,1721200866606
0.61,-1.98,12.58,0.27,0.13,0.33,1721200866616
-1.71,5.81,10.74,0.17,0.07,0.32,1721200866626
-0.44,-5.21,6.85,-0.14,0.22,0.27,1721200866636
-5.57,0.52,20.43,0.14,-0.03,0.30,1721200866646
-0.63,-0.78,-0.77,0.21,0.11,0.38,1721200866656
-0.63,-6.36,9.05,-0.11,-0.01,0.44,1721200866666
-1.03,-1.58,13.47,0.28,-0.02,0.47,1721200866676
0.32,-2.03,8.23,0.10,0.21,0.27,1721200866686
-3.37,-3.84,7.11,0.06,-0.18,0.17,1721200866696
-1.24,-4.92,15.47,-0.13,0.58,0.17,1721200866706
-1.42,-4.07,13.47,0.15,-0.00,0.37,1721200866716
-2.24,2.24,11.01,-0.01,-0.03,0.37,1721200866726
-0.56,2.63,13.62,0.02,0.13,0.09,1721200866736
-1.38,-2.12,7.60,0.03,-0.23,0.09,1721200866746
-2.57,-3.62,12.97,-0.23,0.01,0.23,1721200866756
-2.77,-2.13,8.59,0.19,-0.17,0.45,1721200866766
-0.93,0.46,5.09,-0.09,0.07,0.30,1721200866776
1.12,0.41,12.45,-0.01,-0.07,0.32,1721200866786
1.17,-0.47,4.13,-0.05,-0.11,0.35,1721200866796
3.08,2.72,14.94,-0.12,0.37,0.08,1721200866806
1.46,1.58,10.75,0.07,-0.16,0.01,1721200866816
-4.87,1.15,7.02,-0.06,-0.30,0.15,1721200866826
-2.75,3.69,13.61,-0.04,0.12,0.38,1721200866836
0.76,2.41,8.19,-0.08,-0.11,0.35,1721200866846
-2.18,4.36,10.74,-0.19,-0.23,0.12,1721200866856
-2.60,4.49,10.93,-0.04,-0.01,0.18,1721200866866
