AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
3.53,0.65,11.89,-0.08,-0.07,-0.30,1721199030130
1.89,-0.07,12.74,0.02,-0.13,-0.44,1721199030135
-0.29,0.25,10.22,0.06,-0.12,-0.41,1721199030145
-1.01,1.58,10.47,0.02,-0.07,-0.16,1721199030155
0.54,0.31,10.75,0.06,-0.05,-0.25,1721199030165
-0.80,1.78,9.06,0.11,-0.15,-0.50,1721199030175
-4.54,2.53,8.07,-0.03,-0.14,-0.47,1721199030185
-5.84,-0.14,11.25,-0.07,-0.11,-0.14,1721199030195
-4.11,-1.77,12.15,0.04,-0.14,0.04,1721199030205
-1.44,1.55,10.04,0.13,-0.18,0.09,1721199030215
0.91,3.17,6.71,-0.01,-0.16,0.06,1721199030225
2.38,0.66,10.82,-0.11,-0.09,-0.04,1721199030235
1.99,-0.92,12.71,0.05,-0.18,-0.21,1721199030245
1.41,1.12,11.28,0.08,-0.11,-0.17,1721199030255
2.10,1.98,8.59,0.03,-0.11,-0.09,1721199030265
2.93,0.61,9.35,-0.04,-0.02,-0.22,1721199030275
1.40,0.68,10.60,0.04,-0.11,-0.47,1721199030285
-1.84,0.79,9.96,0.01,-0.09,-0.47,1721199030295
-3.42,-0.63,12.11,0.01,-0.06,-0.20,1721199030305
-2.66,0.22,11.17,0.10,-0.08,-0.07,1721199030315
-1.66,3.11,8.03,0.05,-0.10,-0.11,1721199030325
-1.99,1.86,7.77,-0.17,-0.12,-0.14,1721199030335
-1.55,-4.84,21.30,0.03,0.03,-0.24,1721199030345
-3.09,-3.93,2.22,0.21,-0.51,0.02,1721199030355
-2.64,5.39,8.93,-0.16,0.12,0.09,1721199030365
2.49,-2.64,12.77,-0.03,-0.22,-0.14,1721199030375
0.91,-6.59,11.70,-0.00,-0.08,-0.35,1721199030385
-1.31,1.58,5.75,0.21,-0.35,-0.18,1721199030395
-3.80,1.11,10.04,-0.16,-0.11,-0.12,1721199030405
-6.50,-1.86,10.44,0.16,-0.51,0.11,1721199030415
5.90,2.19,4.23,0.06,0.12,0.56,1721199030425
7.99,6.01,8.57,-0.16,-0.21,0.24,1721199030435
0.89,4.15,16.91,-0.09,-0.10,-0.40,1721199030445
-2.32,-4.72,6.98,0.07,-0.54,-0.43,1721199030455
-0.23,-1.36,4.99,0.18,0.33,0.10,1721199030465
8.65,-1.12,3.89,-0.25,-0.41,0.34,1721199030475
7.44,-0.93,26.13,-0.13,0.43,-0.35,1721199030485
0.71,-0.07,16.53,0.38,-0.58,-0.82,1721199030495
-9.04,5.24,0.41,-0.04,-0.05,-0.68,1721199030505
-8.91,-1.63,5.49,-0.23,-0.29,0.02,1721199030515
-7.43,-6.62,8.53,-0.09,-0.24,0.49,1721199030525
2.61,-1.22,11.37,0.20,0.04,0.53,1721199030535
5.31,1.14,8.31,0.04,-0.31,0.22,1721199030545
3.11,-2.77,12.86,-0.11,-0.07,-0.24,1721199030555
2.17,-3.87,19.13,-0.03,-0.19,-0.26,1721199030565
0.07,0.09,12.16,0.10,-0.22,0.06,1721199030575
2.76,-0.26,6.52,-0.03,0.02,-0.07,1721199030585
0.06,-3.05,4.38,-0.02,-0.32,-0.44,1721199030595
-3.28,-3.74,8.39,-0.05,-0.07,-0.39,1721199030605
-4.39,0.96,15.24,0.09,-0.19,0.04,1721199030615
-3.21,-0.38,10.60,0.00,-0.16,0.06,1721199030625
-3.45,-0.61,12.63,0.05,-0.25,-0.20,1721199030635
-5.05,-2.21,8.00,-0.01,-0.37,0.03,1721199030645
-3.29,-1.32,7.52,-0.06,-0.27,0.45,1721199030655
3.66,-4.08,9.86,-0.07,-0.13,0.35,1721199030665
4.07,-1.20,14.39,0.15,-0.33,-0.07,1721199030675
1.94,0.07,7.30,0.05,-0.36,-0.22,1721199030685
-0.21,-1.20,12.47,-0.10,-0.18,-0.10,1721199030695
-0.19,-2.63,12.53,0.01,-0.34,-0.01,1721199030705
0.55,-0.26,10.36,0.04,-0.27,0.01,1721199030715
1.80,-1.01,6.88,0.02,-0.22,-0.11,1721199030725
-0.16,-0.12,9.25,0.04,-0.20,-0.40,1721199030735
-4.84,-1.17,6.54,-0.02,-0.41,-0.38,1721199030745
-6.77,-2.25,13.04,-0.04,-0.29,0.11,1721199030755
-4.19,-2.82,12.91,0.13,-0.40,0.59,1721199030765
5.16,-1.54,10.03,0.09,-0.16,0.41,1721199030775
5.43,0.54,9.49,0.02,-0.49,-0.18,1721199030785
1.15,-4.11,13.80,0.03,-0.34,-0.30,1721199030795
2.00,-0.26,6.66,0.10,-0.17,0.06,1721199030805
6.72,-1.12,11.54,0.04,-0.06,0.16,1721199030815
5.29,-1.79,8.32,0.07,-0.41,-0.19,1721199030825
0.12,-4.22,15.72,0.01,-0.17,-0.31,1721199030835
3.83,-2.52,20.25,0.10,0.02,-0.09,1721199030845
4.02,-3.57,9.02,0.10,-0.33,-0.14,1721199030855
1.14,-1.37,12.26,0.15,0.12,-0.34,1721199030865
0.13,-6.97,12.06,0.15,-0.30,-0.32,1721199030875
-2.38,-9.76,10.27,0.00,-0.29,0.06,1721199030885
-1.02,-5.06,12.27,0.07,-0.29,0.21,1721199030895
1.40,-1.87,8.96,0.22,-0.15,0.11,1721199030905
0.63,2.26,-3.13,0.06,-0.37,0.01,1721199030915
-1.58,-1.30,18.74,-0.27,0.21,-0.09,1721199030925
-3.46,-3.40,20.23,0.20,0.10,-0.10,1721199030935
1.05,-3.84,12.15,0.21,0.06,-0.09,1721199030945
0.20,-4.72,5.51,0.11,-0.29,-0.03,1721199030955
2.30,-4.31,10.88,-0.04,0.20,0.01,1721199030965
2.27,-6.16,14.37,-0.02,-0.19,-0.04,1721199030975
0.11,-4.11,9.61,0.15,-0.00,-0.12,1721199030985
1.52,-5.13,11.12,-0.04,-0.03,-0.11,1721199030995
-1.19,-5.75,8.64,0.01,-0.30,0.14,1721199031005
3.27,-1.20,10.69,0.02,0.29,0.28,1721199031015
5.30,-2.21,6.61,-0.10,-0.28,0.08,1721199031025
4.40,-3.51,11.78,-0.13,0.28,-0.39,1721199031035
1.97,-2.94,20.11,0.06,-0.07,-0.47,1721199031045
-3.98,-2.60,2.97,0.08,-0.29,-0.05,1721199031055
-0.55,-2.50,8.22,-0.17,0.32,0.22,1721199031065
3.00,-4.40,15.44,-0.07,-0.10,0.10,1721199031075
2.34,-1.17,10.24,0.09,-0.03,-0.14,1721199031085
1.60,2.32,7.95,0.02,0.06,-0.14,1721199031095
0.88,0.62,10.05,-0.12,0.10,-0.01,1721199031105
1.64,-2.08,16.07,0.01,0.07,0.02,1721199031115
0.48,1.84,8.23,0.17,-0.12,0.02,1721199031125
