AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-2.42,0.51,2.21,0.06,-0.14,-0.05,1721200915141
-2.18,-0.75,3.02,-0.26,-0.12,0.02,1721200915146
-2.45,-1.28,19.11,-0.20,-0.17,0.08,1721200915156
0.80,1.63,9.48,0.20,-0.09,0.14,1721200915166
2.91,1.97,3.45,-0.25,0.02,-0.01,1721200915176
-1.19,-1.13,8.46,-0.28,-0.33,-0.17,1721200915186
-1.80,3.82,15.03,0.14,0.06,-0.11,1721200915196
3.23,1.33,1.07,-0.19,-0.05,-0.02,1721200915206
-1.38,0.72,16.28,-0.38,-0.17,-0.07,1721200915216
-1.28,2.39,16.99,0.10,0.01,-0.08,1721200915226
-2.70,1.10,0.19,-0.16,-0.25,-0.03,1721200915236
-6.15,4.04,13.89,-0.27,-0.03,-0.05,1721200915246
-3.26,2.40,7.98,-0.04,-0.23,0.11,1721200915256
-3.67,6.02,8.68,-0.23,-0.01,0.10,1721200915266
-2.01,3.90,14.76,-0.26,-0.12,0.08,1721200915276
-4.12,6.49,12.62,-0.10,-0.35,0.16,1721200915286
-2.45,8.21,9.81,-0.07,-0.13,0.28,1721200915296
0.64,6.06,11.99,-0.19,-0.24,0.30,1721200915306
5.31,1.68,13.87,-0.05,-0.67,0.93,1721200915316
8.08,2.19,4.06,-0.05,0.18,0.31,1721200915326
12.34,0.95,10.70,-0.42,-0.12,-0.81,1721200915336
-0.52,-1.20,10.76,-0.14,-0.43,-1.50,1721200915346
-17.32,-6.26,6.71,-0.09,-0.32,-1.09,1721200915356
-24.19,-2.08,10.87,0.00,-0.08,0.07,1721200915366
-18.68,-0.55,8.98,-0.01,-0.36,1.51,1721200915376
2.45,-4.47,6.85,-0.23,-0.08,1.98,1721200915386
14.00,1.21,15.17,-0.11,-0.14,1.29,1721200915396
15.70,-0.73,4.70,-0.04,-0.33,0.26,1721200915406
10.01,-1.37,7.33,-0.25,-0.30,-0.70,1721200915416
0.06,-1.45,11.68,-0.20,-0.74,-0.81,1721200915426
-10.27,-1.71,13.81,-0.20,-0.32,-0.18,1721200915436
-6.48,-2.12,13.38,-0.09,-0.21,0.66,1721200915446
1.33,-0.22,6.86,-0.07,-0.17,0.74,1721200915456
3.65,-1.99,8.55,-0.09,-0.26,0.16,1721200915466
1.73,-0.86,13.39,0.02,-0.31,-0.10,1721200915476
-0.29,0.35,10.91,0.16,-0.24,0.07,1721200915486
0.78,-3.87,10.82,0.03,-0.22,0.40,1721200915496
3.31,-0.04,13.22,0.12,-0.16,0.36,1721200915506
4.89,4.19,12.81,0.23,-0.26,0.02,1721200915516
3.83,0.84,6.08,0.10,-0.12,-0.23,1721200915526
0.73,-1.85,15.31,0.05,-0.13,-0.34,1721200915536
-1.07,-3.10,9.57,0.33,-0.20,-0.22,1721200915546
-1.04,-1.43,8.75,0.21,-0.07,-0.00,1721200915556
1.18,-0.03,13.31,0.18,-0.04,0.10,1721200915566
1.98,2.78,12.30,0.18,-0.09,-0.16,1721200915576
2.47,-0.87,6.62,0.10,-0.16,-0.24,1721200915586
0.44,0.74,8.79,0.08,-0.01,-0.42,1721200915596
0.98,-6.10,11.77,0.09,-0.01,-0.29,1721200915606
-3.11,0.64,11.30,0.31,-0.19,-0.06,1721200915616
2.72,-2.75,1.41,-0.04,0.21,0.03,1721200915626
2.39,0.68,17.38,0.05,0.00,-0.29,1721200915636
1.07,-4.37,9.62,0.17,-0.09,-0.35,1721200915646
-3.63,-0.96,11.94,0.07,0.02,-0.16,1721200915656
0.12,4.25,10.93,0.13,0.19,0.09,1721200915666
3.45,-0.04,2.29,0.10,-0.08,0.04,1721200915676
3.60,0.40,13.04,-0.12,0.28,-0.38,1721200915686
0.96,-1.26,12.48,0.18,-0.11,-0.48,1721200915696
-2.07,-0.62,7.52,0.04,0.13,-0.24,1721200915706
-1.09,0.18,10.64,0.00,0.16,-0.04,1721200915716
0.94,2.15,15.69,0.14,0.14,-0.04,1721200915726
