AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
1.00,1.03,8.99,0.07,0.13,-0.74,1721198881122
-1.33,1.35,9.46,0.05,0.24,-0.66,1721198881127
-3.83,-0.49,10.23,0.01,0.35,-0.36,1721198881137
-3.61,-1.13,11.25,0.01,0.21,-0.08,1721198881147
-2.96,-1.61,10.05,0.01,0.23,-0.08,1721198881157
-3.42,0.63,9.74,0.02,0.02,-0.06,1721198881167
-1.25,-0.61,5.75,-0.06,0.17,0.06,1721198881177
5.06,-1.25,15.37,0.03,0.41,0.17,1721198881187
-1.58,-0.84,11.14,0.09,0.37,-0.04,1721198881197
7.78,1.23,11.20,0.03,0.46,-0.21,1721198881207
3.16,0.58,9.95,0.00,0.25,-0.43,1721198881217
2.69,-0.61,13.53,0.12,0.50,-0.55,1721198881227
-2.37,-3.41,7.24,-0.02,0.06,-0.49,1721198881237
-5.82,-0.46,11.52,0.10,0.53,-0.48,1721198881247
-4.50,-2.01,11.18,0.01,0.25,-0.33,1721198881257
-8.51,-1.52,8.82,0.02,0.09,-0.20,1721198881267
-6.56,-2.56,10.52,0.01,0.35,-0.09,1721198881277
-6.38,-0.35,10.80,0.07,-0.01,0.09,1721198881287
-3.07,1.02,11.07,0.01,0.30,0.20,1721198881297
0.37,0.96,9.76,-0.06,0.04,0.20,1721198881307
1.55,-0.92,11.40,-0.03,0.18,0.05,1721198881317
1.95,0.17,10.32,0.10,0.08,-0.07,1721198881327
0.92,-0.97,8.53,-0.03,0.15,-0.10,1721198881337
-0.23,0.51,10.35,0.08,0.13,-0.13,1721198881347
-0.17,-0.60,8.58,-0.04,0.18,-0.16,1721198881357
-2.30,-0.39,9.89,-0.00,0.02,-0.09,1721198881367
-1.46,-0.32,13.76,0.00,0.31,-0.02,1721198881377
-2.32,0.44,11.25,0.12,-0.03,0.02,1721198881387
-2.55,0.64,4.95,-0.03,0.10,0.10,1721198881397
0.01,-1.26,13.58,-0.07,0.24,0.22,1721198881407
0.93,-3.87,11.37,0.04,-0.01,0.28,1721198881417
2.09,0.33,9.19,0.10,0.26,0.16,1721198881427
3.80,1.21,8.21,-0.06,0.17,0.08,1721198881437
3.05,-1.27,12.70,-0.04,0.28,0.04,1721198881447
4.35,-3.61,13.21,0.04,0.26,-0.01,1721198881457
2.54,0.47,11.92,0.17,0.29,-0.16,1721198881467
1.58,-1.00,5.32,-0.02,0.25,-0.22,1721198881477
-2.06,-1.88,12.04,-0.03,0.31,-0.20,1721198881487
-2.20,-3.17,11.71,0.06,0.31,-0.10,1721198881497
-4.94,-1.22,8.70,0.06,0.15,-0.09,1721198881507
-4.27,-1.49,10.72,-0.01,0.40,-0.05,1721198881517
-5.66,-3.13,8.07,-0.03,-0.00,0.18,1721198881527
-3.82,-0.75,12.99,0.03,0.43,0.28,1721198881537
-1.47,-0.53,7.21,0.04,-0.01,0.24,1721198881547
-1.70,-0.39,10.01,-0.08,0.23,0.17,1721198881557
0.84,-2.25,13.04,0.04,0.17,0.25,1721198881567
0.16,-1.20,8.86,0.01,0.10,0.25,1721198881577
1.58,-0.55,11.75,0.04,0.28,0.08,1721198881587
0.03,0.13,7.61,0.06,0.04,-0.01,1721198881597
-0.87,-0.23,8.57,-0.11,0.29,-0.00,1721198881607
-1.59,-1.09,14.90,0.03,0.14,0.02,1721198881617
-2.86,-2.76,8.64,0.00,0.04,0.06,1721198881627
-4.41,0.99,9.61,0.04,0.16,0.14,1721198881637
-2.32,-0.42,8.34,-0.07,0.08,0.30,1721198881647
-1.91,-1.76,11.80,-0.05,0.06,0.36,1721198881657
-0.05,-1.05,12.67,0.06,0.17,0.24,1721198881667
-0.16,-0.28,9.01,0.03,-0.03,0.27,1721198881677
-0.40,1.16,9.86,0.02,0.16,0.33,1721198881687
2.55,-0.78,10.34,-0.03,0.16,0.27,1721198881697
1.45,-2.48,12.73,0.01,0.07,0.09,1721198881707
-0.01,-1.53,7.56,0.15,0.06,0.04,1721198881717
0.30,-0.33,13.39,-0.10,0.32,0.16,1721198881727
-0.94,0.70,12.58,0.11,0.00,0.27,1721198881737
0.46,-1.70,7.87,-0.10,0.24,0.22,1721198881747
-1.92,2.72,11.16,0.06,0.02,0.11,1721198881757
0.62,-0.31,14.02,-0.05,0.35,0.12,1721198881767
-2.26,-0.57,9.82,0.06,-0.15,0.23,1721198881777
-4.04,1.01,5.13,0.06,0.23,0.28,1721198881787
0.88,0.93,11.20,-0.11,0.24,0.36,1721198881797
0.27,-0.99,11.99,0.01,-0.05,0.28,1721198881807
0.34,0.07,9.06,0.08,0.25,0.05,1721198881817
-2.87,2.98,10.84,-0.05,0.06,0.13,1721198881827
-4.86,-0.22,7.58,-0.05,0.00,0.45,1721198881837
-0.27,0.83,13.61,0.01,0.26,0.51,1721198881847
1.36,0.48,7.80,0.02,-0.17,0.39,1721198881857
-1.05,1.20,9.01,-0.10,0.25,0.20,1721198881867
-1.51,0.64,12.18,-0.04,0.05,0.25,1721198881877
-4.15,0.29,8.68,-0.02,-0.08,0.35,1721198881887
-1.80,3.39,12.98,0.01,0.23,0.41,1721198881897
-0.98,1.22,7.56,-0.10,-0.21,0.52,1721198881907
-1.77,2.08,9.68,-0.04,0.10,0.51,1721198881917
0.93,1.03,9.44,-0.08,-0.01,0.40,1721198881927
-2.61,-1.18,10.37,-0.06,-0.22,0.35,1721198881937
-2.05,1.63,10.74,0.13,0.12,0.44,1721198881947
-0.96,1.05,9.24,-0.15,-0.10,0.65,1721198881957
-2.29,0.47,8.54,-0.00,-0.16,0.63,1721198881967
1.49,0.15,11.14,-0.09,0.11,0.48,1721198881977
-1.35,2.29,12.97,-0.00,-0.28,0.45,1721198881987
-0.80,-0.60,7.65,-0.09,-0.02,0.57,1721198881997
-1.10,-0.54,11.68,-0.12,-0.14,0.62,1721198882007
-1.80,0.41,8.17,0.04,-0.23,0.57,1721198882017
-0.15,1.23,11.03,-0.10,-0.00,0.57,1721198882027
-0.93,-1.98,9.03,-0.13,-0.36,0.67,1721198882037
-0.78,-1.05,11.82,0.02,-0.01,0.64,1721198882047
2.11,1.94,10.81,0.05,-0.14,0.57,1721198882057
0.86,0.67,11.01,-0.15,-0.15,0.50,1721198882067
0.19,-3.34,10.92,0.02,-0.21,0.51,1721198882077
-1.15,-0.48,8.36,0.03,-0.16,0.50,1721198882087
0.24,1.58,10.08,-0.01,-0.14,0.58,1721198882097
2.09,-2.13,9.90,-0.19,-0.17,0.61,1721198882107
0.16,-1.18,10.71,-0.01,-0.20,0.42,1721198882117
-0.10,2.94,12.79,0.04,0.01,0.35,1721198882127
-1.17,0.59,7.84,-0.11,-0.35,0.49,1721198882137
-0.33,-1.42,8.82,-0.11,-0.08,0.56,1721198882147
1.41,0.61,12.94,0.02,-0.14,0.49,1721198882157
0.58,-0.14,7.56,-0.11,-0.26,0.47,1721198882167
0.36,1.07,10.07,-0.00,-0.12,0.44,1721198882177
1.85,-0.29,7.10,-0.09,-0.16,0.40,1721198882187
0.32,-0.12,12.02,-0.13,-0.14,0.36,1721198882197
1.46,-0.75,14.44,-0.01,-0.08,0.41,1721198882207
0.38,0.59,9.43,0.04,-0.26,0.41,1721198882217
0.70,0.16,6.88,-0.11,-0.11,0.38,1721198882227
0.92,0.94,12.48,-0.06,-0.08,0.32,1721198882237
1.04,-0.36,10.34,-0.03,-0.15,0.26,1721198882247
-0.92,-0.57,8.26,-0.06,-0.25,0.25,1721198882257
-0.57,0.59,10.61,0.03,0.01,0.32,1721198882267
1.49,0.64,12.39,-0.08,-0.13,0.41,1721198882277
-0.41,1.48,11.15,0.02,-0.23,0.34,1721198882287
1.47,1.02,9.22,-0.02,-0.02,0.19,1721198882297
0.23,1.56,12.01,0.02,-0.22,0.17,1721198882307
-0.31,1.19,7.45,-0.00,-0.07,0.25,1721198882317
-0.06,1.87,9.30,-0.06,-0.15,0.29,1721198882327
1.51,1.41,10.55,-0.04,-0.04,0.20,1721198882337
1.96,1.77,12.69,0.03,-0.10,0.12,1721198882347
-0.43,7.36,6.69,0.06,-0.21,0.08,1721198882357
0.74,1.04,9.39,-0.17,-0.02,0.08,1721198882367
0.34,-0.23,13.68,0.11,-0.24,0.28,1721198882377
0.74,3.00,5.22,0.10,-0.06,0.35,1721198882387
3.91,3.89,9.77,-0.02,-0.01,0.08,1721198882397
2.01,2.54,10.46,0.02,-0.20,-0.22,1721198882407
-0.08,2.87,13.89,0.04,0.09,-0.23,1721198882417
-1.41,2.48,8.08,0.04,-0.19,0.01,1721198882427
-0.21,2.15,9.74,-0.05,0.12,0.05,1721198882437
0.77,2.55,10.58,0.07,-0.12,-0.14,1721198882447
-1.72,0.15,8.04,-0.08,-0.08,-0.27,1721198882457
-2.99,0.19,11.39,0.10,-0.02,-0.11,1721198882467
-1.42,-0.91,7.62,-0.00,-0.04,0.04,1721198882477
-1.24,0.95,9.88,0.03,-0.10,0.03,1721198882487
1.81,-0.85,10.12,-0.01,0.01,-0.05,1721198882497
1.51,2.04,14.89,0.08,-0.01,-0.18,1721198882507
0.24,1.35,6.61,0.08,-0.19,-0.25,1721198882517
-1.20,1.41,9.29,-0.10,0.04,-0.24,1721198882527
-0.51,-1.02,12.09,-0.00,-0.14,-0.14,1721198882537
-1.18,0.70,11.57,0.11,-0.08,-0.15,1721198882547
-0.08,1.80,9.09,0.08,-0.03,-0.29,1721198882557
-2.94,2.53,5.81,0.01,-0.23,-0.35,1721198882567
-3.41,-0.06,10.52,-0.12,0.06,-0.29,1721198882577
-4.46,0.31,15.68,0.12,-0.27,-0.15,1721198882587
-4.78,2.59,6.37,0.11,-0.22,-0.14,1721198882597
-3.59,5.29,11.29,-0.04,-0.13,-0.17,1721198882607
-3.84,-0.50,6.51,-0.16,-0.48,-0.14,1721198882617
-4.48,2.33,19.01,0.05,-0.10,-0.13,1721198882627
-3.38,5.96,5.86,0.13,-0.54,-0.13,1721198882637
-4.43,7.67,8.43,-0.24,-0.28,-0.13,1721198882647
0.90,-5.64,8.53,-0.16,-0.73,0.50,1721198882657
11.48,-0.60,15.54,-0.10,0.52,0.71,1721198882667
14.05,9.57,12.36,-0.09,-0.39,-0.39,1721198882677
7.79,-4.13,5.67,-0.18,-0.20,-1.89,1721198882687
-10.67,-6.17,9.34,0.12,-0.60,-1.57,1721198882697
-20.33,-1.96,1.82,0.01,-0.12,-0.06,1721198882707
-11.60,-3.24,13.94,-0.20,-0.19,1.05,1721198882717
1.00,-5.99,19.38,0.12,-0.40,1.09,1721198882727
