AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.69,-7.00,18.80,0.01,0.12,1.65,1721207380145
4.91,-4.59,17.27,0.34,0.04,1.43,1721207380150
18.04,-2.99,7.51,-0.04,0.15,0.71,1721207380160
16.12,5.96,14.08,-0.05,0.17,-0.38,1721207380170
10.02,-2.63,9.65,0.07,-0.30,-1.26,1721207380180
-2.42,-3.10,3.57,-0.13,-0.29,-1.15,1721207380190
-6.47,1.53,10.28,0.09,0.01,-0.24,1721207380200
0.94,-4.15,8.80,-0.06,0.43,0.32,1721207380210
1.52,-0.53,11.73,0.10,-0.14,-0.13,1721207380220
-1.23,-2.57,13.84,0.08,0.15,-0.87,1721207380230
-5.55,-2.48,13.25,0.11,-0.14,-0.73,1721207380240
-10.17,-2.38,5.43,-0.02,-0.15,-0.26,1721207380250
-10.07,-5.83,7.06,-0.14,-0.01,0.12,1721207380260
-5.00,-6.33,12.77,0.02,-0.18,0.48,1721207380270
2.94,-1.49,10.45,0.20,0.02,0.47,1721207380280
6.06,-1.32,7.50,0.05,-0.17,-0.13,1721207380290
1.77,-1.16,8.52,0.08,-0.05,-0.63,1721207380300
-1.23,-7.53,11.31,-0.11,-0.09,-0.48,1721207380310
-3.44,-5.43,19.48,0.16,-0.09,0.02,1721207380320
0.83,-2.94,1.65,0.19,0.02,0.12,1721207380330
2.40,-0.61,14.48,-0.06,0.04,-0.36,1721207380340
0.03,-2.62,9.66,0.31,-0.44,-0.52,1721207380350
-3.45,-3.28,4.06,-0.04,0.12,-0.44,1721207380360
-5.06,-0.08,14.41,0.13,-0.03,-0.21,1721207380370
-2.69,-0.00,6.92,0.12,-0.01,-0.04,1721207380380
-1.45,-3.43,10.91,-0.10,-0.14,0.02,1721207380390
-0.68,-0.72,15.06,0.15,-0.04,-0.06,1721207380400
3.19,-2.97,4.62,-0.09,-0.11,-0.09,1721207380410
0.60,1.66,17.59,0.03,-0.12,-0.11,1721207380420
0.57,2.01,0.59,0.10,-0.17,-0.09,1721207380430
3.21,3.33,11.71,-0.06,0.30,0.01,1721207380440
6.74,2.41,14.01,0.28,0.07,0.10,1721207380450
4.92,3.83,1.97,-0.10,-0.04,-0.10,1721207380460
4.87,2.91,18.35,0.05,0.27,-0.35,1721207380470
3.44,-0.66,9.77,0.01,-0.07,-0.29,1721207380480
-1.20,6.89,4.24,-0.03,0.16,-0.15,1721207380490
1.59,3.85,14.04,-0.14,0.50,-0.12,1721207380500
0.48,1.63,17.14,0.09,0.06,-0.14,1721207380510
-1.76,6.46,5.33,0.17,-0.04,0.04,1721207380520
2.10,3.44,9.62,-0.25,0.53,0.19,1721207380530
3.65,1.29,17.14,-0.11,0.21,0.14,1721207380540
2.19,8.10,13.87,0.23,0.08,-0.09,1721207380550
3.87,7.14,1.31,-0.03,0.34,-0.14,1721207380560
2.68,3.23,9.45,-0.31,0.36,-0.09,1721207380570
3.01,2.42,15.34,0.01,0.32,-0.31,1721207380580
3.00,2.14,10.25,0.04,0.32,-0.35,1721207380590
-0.44,6.36,5.02,0.02,0.25,-0.37,1721207380600
