AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-33.40,-0.73,-2.74,0.05,-0.40,-0.81,1721206983158
-30.70,-1.88,7.59,-0.31,0.02,0.55,1721206983163
-14.02,-6.86,23.43,-0.15,0.24,2.75,1721206983173
15.83,0.71,16.75,0.38,1.00,2.76,1721206983183
26.88,3.91,0.69,0.10,-0.03,1.17,1721206983193
27.52,2.62,8.99,-0.27,0.31,-1.62,1721206983203
5.71,0.52,11.29,-0.18,-0.84,-2.70,1721206983213
-6.71,-5.00,11.95,0.18,-0.19,-2.88,1721206983223
-26.08,-9.90,5.46,-0.05,-0.38,-1.06,1721206983233
-20.79,-6.12,16.84,-0.20,0.42,1.03,1721206983243
0.03,3.29,16.64,0.09,0.54,1.77,1721206983253
13.50,1.45,6.67,0.14,0.55,0.90,1721206983263
16.60,2.23,9.46,-0.15,0.29,-0.54,1721206983273
5.31,-2.31,11.45,0.06,-0.45,-1.52,1721206983283
-1.45,-4.15,10.76,0.05,-0.19,-1.62,1721206983293
-10.99,-1.82,13.55,0.03,-0.01,-0.69,1721206983303
-6.54,-1.27,11.19,0.14,0.38,0.27,1721206983313
2.89,0.85,9.18,0.09,0.36,0.37,1721206983323
4.87,-1.36,6.56,0.07,0.18,-0.35,1721206983333
2.45,-1.02,8.58,0.15,0.20,-1.10,1721206983343
-4.68,-4.08,11.95,0.14,-0.01,-0.98,1721206983353
-8.48,-3.07,13.62,0.18,0.19,-0.23,1721206983363
-4.25,-1.40,8.51,0.20,0.30,0.27,1721206983373
0.88,1.60,7.82,0.11,0.21,0.05,1721206983383
5.03,-2.10,9.58,0.11,0.15,-0.35,1721206983393
1.12,0.36,13.18,0.22,0.05,-0.53,1721206983403
-1.05,-2.96,6.75,0.08,0.15,-0.46,1721206983413
-3.14,-0.08,14.70,0.08,0.28,-0.35,1721206983423
-4.82,-2.19,8.78,0.23,0.03,-0.09,1721206983433
-3.13,-0.07,3.36,0.11,0.23,0.09,1721206983443
1.88,-2.60,9.80,-0.11,0.26,0.05,1721206983453
1.19,-0.41,20.24,0.09,0.16,-0.09,1721206983463
-1.31,-2.03,8.22,0.21,0.01,-0.29,1721206983473
-3.22,0.27,2.57,0.01,0.06,-0.16,1721206983483
-1.51,-4.14,7.52,-0.19,0.17,0.06,1721206983493
-0.97,-2.88,17.87,0.02,0.04,0.17,1721206983503
2.78,0.51,11.85,0.19,0.25,0.10,1721206983513
2.12,0.92,7.15,0.02,0.17,-0.23,1721206983523
-3.52,-2.75,9.08,-0.11,-0.04,-0.19,1721206983533
-5.72,-2.14,9.96,0.03,0.08,0.23,1721206983543
-1.48,-1.16,11.58,0.00,0.31,0.46,1721206983553
2.76,0.11,10.75,0.06,0.14,0.45,1721206983563
3.45,-0.85,8.86,-0.03,0.09,0.19,1721206983573
0.51,1.96,12.11,0.06,0.10,-0.05,1721206983583
-1.90,0.08,9.69,0.00,0.16,0.06,1721206983593
-2.93,-1.77,11.95,-0.02,0.17,0.47,1721206983603
0.20,1.26,10.09,0.06,0.15,0.69,1721206983613
4.54,4.03,8.16,-0.03,0.22,0.44,1721206983623
6.35,2.42,10.94,-0.09,0.21,0.18,1721206983633
4.51,1.66,11.43,-0.07,0.15,-0.05,1721206983643
0.60,0.99,8.63,-0.07,0.13,-0.20,1721206983653
-3.34,0.97,9.65,-0.10,0.19,-0.11,1721206983663
-4.67,-0.49,10.85,-0.10,0.17,0.13,1721206983673
-4.83,1.25,11.26,-0.05,0.11,0.29,1721206983683
-2.62,-0.51,8.75,-0.10,0.16,0.33,1721206983693
-1.41,-2.10,10.03,-0.17,0.06,0.33,1721206983703
-1.97,-2.61,10.14,-0.14,0.04,0.29,1721206983713
-1.02,-1.38,13.18,-0.10,0.15,0.27,1721206983723
0.94,-2.88,10.35,-0.11,0.01,0.39,1721206983733
0.79,-4.20,9.86,-0.13,0.01,0.31,1721206983743
1.04,-1.70,8.94,-0.09,0.06,0.24,1721206983753
2.43,-1.76,12.45,-0.16,0.16,0.24,1721206983763
2.33,-3.11,10.38,-0.17,0.03,0.24,1721206983773
1.17,-0.26,10.91,-0.17,0.14,0.22,1721206983783
-0.26,-2.82,9.62,-0.16,0.03,0.15,1721206983793
-2.54,-0.98,9.60,-0.17,0.07,0.22,1721206983803
-1.27,-1.78,10.70,-0.15,0.13,0.32,1721206983813
-0.93,1.41,10.26,-0.08,-0.05,0.46,1721206983823
0.58,2.01,6.72,-0.08,0.01,0.50,1721206983833
-0.71,-2.60,10.97,-0.19,-0.04,0.34,1721206983843
-1.70,1.50,16.46,-0.04,0.06,0.27,1721206983853
-3.28,-2.85,7.69,0.03,-0.16,0.37,1721206983863
-3.21,0.79,12.32,-0.12,0.31,0.41,1721206983873
1.49,-1.24,14.07,0.10,-0.02,0.52,1721206983883
-1.81,-0.67,9.46,0.09,-0.25,0.45,1721206983893
0.55,2.96,7.82,0.21,0.10,0.25,1721206983903
0.48,-5.06,9.61,0.16,-0.22,0.28,1721206983913
-2.53,0.74,10.68,0.17,-0.07,0.35,1721206983923
-2.14,-2.45,8.75,0.27,-0.15,0.56,1721206983933
-1.15,-0.25,11.42,0.09,0.04,0.56,1721206983943
1.02,-3.13,11.75,0.12,-0.13,0.55,1721206983953
-0.34,-1.20,9.97,0.07,-0.11,0.48,1721206983963
0.66,-3.55,7.90,0.05,-0.08,0.32,1721206983973
1.54,-1.73,11.07,0.05,-0.12,0.38,1721206983983
2.72,-1.69,10.23,0.03,-0.05,0.42,1721206983993
1.56,-2.58,11.60,0.07,-0.17,0.29,1721206984003
0.45,-0.29,10.28,-0.01,-0.08,0.21,1721206984013
0.43,-2.53,9.72,-0.00,-0.15,0.33,1721206984023
0.04,0.57,13.45,0.03,-0.06,0.36,1721206984033
1.08,-1.38,10.06,0.09,-0.13,0.34,1721206984043
0.96,-0.09,10.30,0.09,-0.10,0.28,1721206984053
1.53,1.63,11.47,0.07,0.05,0.11,1721206984063
0.94,3.78,10.02,0.22,-0.09,0.06,1721206984073
0.98,0.10,7.20,-0.05,0.04,0.05,1721206984083
0.58,-0.04,13.37,0.04,-0.06,0.06,1721206984093
1.11,2.32,8.81,0.08,-0.03,-0.07,1721206984103
-0.72,3.88,7.82,0.05,-0.13,-0.22,1721206984113
-3.06,2.11,10.93,0.00,-0.07,-0.13,1721206984123
-3.32,2.21,9.29,0.07,-0.05,0.10,1721206984133
-0.79,0.48,8.90,-0.10,0.04,0.22,1721206984143
0.89,3.65,10.75,0.06,-0.06,0.09,1721206984153
1.17,0.42,4.24,-0.11,-0.05,-0.09,1721206984163
-0.77,-0.50,12.89,-0.12,0.01,-0.08,1721206984173
-0.99,-2.91,11.39,-0.04,-0.05,0.04,1721206984183
-0.61,-4.20,9.29,-0.10,-0.06,0.02,1721206984193
0.08,1.30,14.94,0.01,0.03,-0.05,1721206984203
1.43,-3.54,6.60,-0.06,-0.12,0.10,1721206984213
-0.77,-1.42,9.15,-0.09,-0.00,0.03,1721206984223
-0.74,1.24,10.19,-0.08,0.08,-0.23,1721206984233
-1.55,-4.70,10.47,-0.11,-0.12,-0.17,1721206984243
-3.35,-6.44,11.32,-0.12,-0.09,0.16,1721206984253
-2.15,-1.28,7.25,-0.14,0.05,0.33,1721206984263
-1.01,-0.78,7.74,-0.15,-0.17,0.20,1721206984273
3.57,0.70,14.28,-0.10,0.13,0.02,1721206984283
4.81,-0.92,11.40,-0.10,0.01,0.02,1721206984293
-0.85,0.70,8.22,-0.27,-0.07,-0.20,1721206984303
0.76,-2.74,13.96,-0.24,0.10,-0.18,1721206984313
1.67,-2.83,12.19,-0.12,0.03,0.02,1721206984323
-0.99,-0.51,7.90,-0.10,-0.05,-0.06,1721206984333
1.90,-3.87,12.79,-0.09,0.22,-0.08,1721206984343
0.59,-3.05,8.77,0.04,-0.02,-0.12,1721206984353
-3.09,-4.09,10.36,0.02,-0.01,-0.09,1721206984363
-1.80,-0.39,15.48,0.18,0.13,-0.05,1721206984373
1.30,-1.49,9.14,0.24,-0.04,0.25,1721206984383
1.43,0.61,10.28,0.12,0.15,0.19,1721206984393
1.23,-2.28,12.45,0.04,0.17,-0.15,1721206984403
1.49,-1.63,11.79,0.13,0.07,-0.18,1721206984413
-1.22,-1.21,9.44,0.17,0.04,0.13,1721206984423
-1.30,3.53,11.91,0.26,0.27,0.16,1721206984433
2.13,-1.26,7.95,0.08,0.14,0.11,1721206984443
0.76,0.96,10.97,0.11,0.14,0.01,1721206984453
-1.14,-1.39,8.40,0.09,0.12,-0.07,1721206984463
-1.74,1.00,9.67,0.16,0.16,0.07,1721206984473
-0.48,-0.79,8.24,0.15,0.15,0.30,1721206984483
1.37,-2.00,12.28,0.04,0.26,0.26,1721206984493
1.41,1.90,12.39,0.28,0.02,0.10,1721206984503
2.37,3.68,8.54,0.12,0.28,0.03,1721206984513
0.18,7.38,9.26,0.18,0.09,-0.03,1721206984523
0.35,-0.92,2.95,-0.18,0.21,0.06,1721206984533
-0.04,-2.30,16.19,-0.19,0.25,0.13,1721206984543
2.56,-1.12,13.42,0.09,0.20,0.10,1721206984553
0.68,2.78,7.40,-0.01,0.14,-0.13,1721206984563
-1.52,-2.55,5.94,-0.05,0.09,-0.21,1721206984573
-3.09,-0.76,9.57,-0.05,0.20,-0.14,1721206984583
-2.60,-0.79,11.53,-0.06,0.22,-0.07,1721206984593
-2.41,-0.40,12.01,-0.02,0.07,-0.01,1721206984603
-2.69,0.14,9.59,-0.09,0.15,0.02,1721206984613
-0.63,-1.19,10.02,-0.06,0.12,0.03,1721206984623
1.33,-2.48,11.21,-0.15,0.18,-0.03,1721206984633
-1.84,0.49,11.56,-0.00,-0.21,0.09,1721206984643
0.89,1.31,6.79,-0.14,0.36,0.01,1721206984653
-0.23,2.53,14.01,-0.02,0.09,-0.07,1721206984663
-1.62,-6.17,3.32,-0.22,-0.09,0.05,1721206984673
-3.81,-2.69,12.19,-0.22,0.19,0.10,1721206984683
0.01,0.30,13.52,0.07,0.12,0.18,1721206984693
-0.60,-0.27,9.93,-0.11,-0.09,0.31,1721206984703
-2.08,-3.84,8.91,-0.11,-0.11,0.26,1721206984713
0.36,-2.05,11.11,-0.08,0.20,0.28,1721206984723
0.09,-1.79,11.20,-0.04,-0.11,0.23,1721206984733
-1.41,-3.91,12.65,0.03,-0.17,0.32,1721206984743
-1.81,-3.77,12.50,0.12,-0.09,0.35,1721206984753
0.84,-3.44,12.90,-0.04,0.11,0.41,1721206984763
-1.93,3.03,11.96,0.15,-0.13,0.29,1721206984773
-1.20,-5.14,3.23,0.03,-0.21,0.36,1721206984783
-3.66,-0.88,11.55,0.05,-0.21,0.45,1721206984793
2.43,-2.11,9.78,0.12,0.08,0.47,1721206984803
1.18,0.02,13.61,0.02,-0.14,0.31,1721206984813
0.04,-2.00,8.94,0.09,-0.26,0.22,1721206984823
-2.13,0.31,9.76,0.11,-0.31,0.23,1721206984833
0.78,7.64,15.03,0.26,0.03,0.22,1721206984843
-0.39,8.15,7.79,0.33,-0.39,0.21,1721206984853
-0.87,1.17,2.47,-0.02,-0.16,0.21,1721206984863
-2.22,2.13,11.22,0.05,-0.28,0.28,1721206984873
0.54,1.48,10.13,0.03,-0.18,0.36,1721206984883
1.79,3.59,10.50,0.20,-0.30,0.36,1721206984893
1.40,2.99,2.41,0.17,-0.37,0.24,1721206984903
1.15,1.79,6.80,-0.07,-0.11,0.04,1721206984913
-0.50,-0.24,12.77,-0.09,-0.28,-0.05,1721206984923
-4.07,-1.32,14.31,-0.06,-0.36,0.09,1721206984933
-5.12,1.62,10.31,0.15,-0.35,0.35,1721206984943
-1.53,2.14,6.77,-0.04,-0.22,0.62,1721206984953
1.39,-2.44,4.28,-0.25,-0.34,0.51,1721206984963
2.88,-4.96,14.75,-0.12,-0.21,0.30,1721206984973
2.42,-6.99,7.74,-0.02,-0.48,0.25,1721206984983
1.67,-0.07,10.32,0.08,-0.26,0.34,1721206984993
5.54,2.88,14.04,-0.01,-0.06,0.21,1721206985003
2.20,0.64,11.26,-0.17,-0.48,-0.18,1721206985013
-2.59,-0.10,11.40,-0.28,-0.33,-0.35,1721206985023
-4.94,-9.91,7.78,-0.23,-0.34,0.12,1721206985033
-4.13,-7.45,11.60,-0.21,-0.23,0.72,1721206985043
3.22,-0.18,12.74,-0.05,-0.01,0.63,1721206985053
5.57,2.59,9.87,-0.11,-0.33,0.04,1721206985063
5.62,2.94,9.90,-0.09,-0.25,-0.21,1721206985073
2.12,-5.92,7.55,-0.24,-0.15,-0.06,1721206985083
-2.33,-3.98,14.93,-0.23,-0.21,0.01,1721206985093
0.86,1.60,10.98,0.03,-0.13,0.02,1721206985103
3.44,-2.50,7.83,-0.08,-0.16,-0.11,1721206985113
1.74,-6.02,11.53,-0.01,-0.16,-0.20,1721206985123
-0.57,-0.53,13.65,-0.07,-0.07,-0.18,1721206985133
-2.38,9.89,19.68,0.26,-0.19,-0.09,1721206985143
0.65,-0.21,8.44,0.19,-0.11,0.08,1721206985153
1.52,3.94,12.73,0.26,-0.05,-0.07,1721206985168
3.13,1.63,4.60,0.38,-0.28,-0.13,1721206985172
3.39,0.92,7.20,0.21,0.15,-0.15,1721206985182
2.15,1.10,14.26,0.40,-0.13,-0.10,1721206985192
1.40,0.67,7.82,0.18,0.06,-0.11,1721206985202
0.23,6.03,15.46,0.15,-0.02,-0.32,1721206985212
1.50,3.76,9.52,0.32,-0.05,-0.18,1721206985222
2.25,3.49,3.33,0.20,0.11,-0.26,1721206985232
1.30,3.00,2.02,0.21,-0.14,-0.10,1721206985242
8.33,-2.52,4.48,-0.11,0.66,-0.39,1721206985252
2.92,1.08,14.32,-0.16,-0.25,-0.86,1721206985262
-8.84,-9.36,17.26,0.12,-0.08,-1.16,1721206985272
-16.94,5.57,16.37,0.43,-0.31,-0.89,1721206985282
-13.62,-11.88,5.54,-0.06,0.04,0.38,1721206985292
