AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
4.72,13.11,-16.36,-0.61,0.75,0.45,1721207329141
4.10,6.85,-4.76,-0.86,0.31,0.21,1721207329145
19.08,-13.07,27.05,-0.98,0.10,-0.40,1721207329155
-4.69,2.93,39.30,1.03,-0.03,-0.34,1721207329165
-10.42,17.22,-40.68,0.47,-0.64,0.33,1721207329175
-0.69,-10.91,3.54,-1.95,0.79,0.96,1721207329185
8.71,-6.81,71.27,0.65,1.00,0.97,1721207329195
3.53,5.03,-23.13,1.48,-1.38,0.67,1721207329205
9.52,25.19,-18.78,-1.23,0.91,0.60,1721207329215
0.47,5.00,33.94,-0.66,-0.03,0.41,1721207329225
-1.42,-20.12,45.33,0.12,-0.16,-0.15,1721207329235
-3.12,17.54,4.46,1.08,-0.60,0.08,1721207329245
-1.58,-0.68,-27.38,-1.08,0.19,0.46,1721207329255
-6.73,-15.36,38.34,0.21,-0.05,0.52,1721207329265
0.44,-4.35,7.86,0.75,-0.88,0.26,1721207329275
1.92,9.96,-6.11,-0.18,0.41,-0.01,1721207329285
-4.10,1.96,11.15,-0.50,-0.36,0.30,1721207329295
-8.67,-6.60,5.84,-0.31,-0.44,0.48,1721207329305
-5.21,-0.25,16.99,0.11,-0.34,0.46,1721207329315
-6.80,3.48,0.51,0.18,-0.52,0.58,1721207329325
-6.72,4.19,-7.93,-0.40,-0.52,0.79,1721207329335
-2.92,-4.64,19.91,-0.57,-0.23,0.89,1721207329345
4.55,-13.74,34.87,0.34,-0.05,1.44,1721207329355
16.90,-1.75,-2.78,0.18,0.22,1.56,1721207329365
23.04,11.53,13.48,-0.32,0.56,-0.21,1721207329375
10.63,-2.31,15.13,-0.11,-1.14,-1.87,1721207329385
-14.78,-6.78,11.98,-0.11,-1.15,-2.11,1721207329395
-34.26,1.36,-4.94,0.36,-0.64,-0.45,1721207329405
-28.94,-3.39,7.81,-0.31,0.02,1.56,1721207329415
-5.31,-0.95,29.48,-0.01,-0.24,3.42,1721207329425
19.27,3.14,13.09,0.30,0.53,3.41,1721207329435
38.31,8.03,7.28,-0.05,0.54,1.73,1721207329445
33.80,6.71,4.81,-0.32,-0.59,-1.23,1721207329455
10.98,3.58,6.55,-0.11,-0.71,-2.74,1721207329465
-7.57,-2.18,13.04,-0.26,-0.84,-2.65,1721207329475
-29.42,-4.92,13.40,-0.29,-0.64,-0.87,1721207329485
-23.27,2.25,15.54,0.08,0.20,0.86,1721207329495
-8.26,-0.02,1.64,-0.08,-0.18,1.60,1721207329505
-0.28,-0.63,10.23,-0.21,-0.15,1.16,1721207329515
4.20,-1.16,13.17,0.04,-0.46,0.53,1721207329525
4.57,0.11,7.17,0.13,-0.34,0.15,1721207329535
2.69,-3.38,8.81,-0.02,-0.27,0.25,1721207329545
2.97,0.37,14.96,0.04,-0.28,0.45,1721207329555
6.78,-2.51,11.47,0.04,-0.22,0.29,1721207329565
8.89,0.75,10.48,0.11,-0.23,-0.10,1721207329575
5.74,-3.72,6.55,-0.10,-0.21,-0.54,1721207329585
-2.63,-1.08,13.42,0.04,-0.30,-0.76,1721207329595
-6.44,-4.75,11.80,0.00,-0.13,-0.49,1721207329605
-8.08,0.33,14.51,0.19,-0.24,0.13,1721207329615
-1.56,-2.16,4.16,0.14,-0.06,0.47,1721207329625
4.97,-0.68,11.75,0.00,-0.01,0.31,1721207329635
7.46,1.73,16.22,0.18,-0.12,-0.16,1721207329645
4.60,3.94,8.02,0.19,-0.28,-0.42,1721207329655
2.46,2.83,8.52,-0.02,0.05,-0.37,1721207329665
2.30,-6.18,6.84,-0.12,-0.07,-0.27,1721207329675
0.85,-1.08,16.98,-0.02,0.03,-0.41,1721207329685
1.00,2.70,13.53,0.35,-0.09,-0.38,1721207329695
0.05,0.74,3.66,-0.01,0.00,-0.30,1721207329705
-2.80,1.30,12.00,-0.06,-0.03,-0.29,1721207329715
-3.46,-0.02,9.10,-0.00,0.03,-0.15,1721207329725
-1.95,-0.14,11.78,-0.02,0.09,0.21,1721207329735
2.42,0.29,9.78,0.05,0.04,0.40,1721207329745
7.47,2.23,9.98,-0.01,0.18,0.19,1721207329755
8.14,2.26,9.85,-0.02,0.08,-0.21,1721207329765
3.07,-0.37,2.41,-0.10,-0.06,-0.49,1721207329775
-1.41,-3.24,11.45,-0.33,0.23,-0.47,1721207329785
-2.61,-1.73,16.66,-0.02,-0.04,0.00,1721207329795
1.24,-5.04,7.47,-0.22,0.16,0.29,1721207329805
3.91,8.44,18.76,0.08,0.26,-0.16,1721207329815
5.48,-2.35,-1.59,-0.13,-0.19,-0.53,1721207329825
-2.87,-4.86,10.99,-0.49,0.22,-0.65,1721207329835
-1.83,-6.72,10.40,-0.05,0.03,-0.32,1721207329845
-2.12,-0.50,9.60,-0.15,0.21,-0.08,1721207329855
-1.40,1.22,6.87,-0.07,0.00,-0.15,1721207329865
0.84,2.10,8.20,-0.21,0.25,-0.28,1721207329875
2.71,-2.33,15.18,-0.22,0.15,-0.22,1721207329885
0.06,1.78,9.11,-0.10,0.11,-0.34,1721207329895
1.40,1.61,15.45,-0.24,0.47,-0.60,1721207329905
-0.78,-0.01,13.56,-0.03,-0.19,-0.56,1721207329915
-1.03,-2.43,5.75,-0.07,0.28,-0.38,1721207329925
-1.87,-0.07,9.66,0.04,0.25,-0.28,1721207329935
-2.23,-0.69,9.29,-0.00,0.16,-0.45,1721207329945
1.62,3.42,13.78,0.14,0.34,-0.56,1721207329955
0.35,-1.49,9.75,0.18,0.03,-0.47,1721207329965
-3.89,-0.71,12.54,0.05,0.32,-0.52,1721207329975
